actor,show,year,top_cast
Benedict Cumberbatch,1917,2019,Claire Duburcq
Benedict Cumberbatch,1917,2019,Richard Madden
Benedict Cumberbatch,1917,2019,George MacKay
Benedict Cumberbatch,1917,2019,Colin Firth
Benedict Cumberbatch,1917,2019,Mark Strong
Benedict Cumberbatch,1917,2019,Andrew Scott
Benedict Cumberbatch,1917,2019,read the rest.
Benedict Cumberbatch,1917,2019,Benedict Cumberbatch
Benedict Cumberbatch,1917,2019,Dean-Charles Chapman
Allison Janney,...First Do No Harm,1997,Allison Janney
Allison Janney,...First Do No Harm,1997,Meryl Streep
Allison Janney,...First Do No Harm,1997,Fred Ward
Allison Janney,...First Do No Harm,1997,Seth Adkins
Charlotte Rampling,'Tis Pity She's a Whore,1971,Oliver Tobias
Charlotte Rampling,'Tis Pity She's a Whore,1971,Eva AxÃ©n
Charlotte Rampling,'Tis Pity She's a Whore,1971,Angela Luce
Charlotte Rampling,'Tis Pity She's a Whore,1971,Fabio Testi
Charlotte Rampling,'Tis Pity She's a Whore,1971,Antonio Falsi
Charlotte Rampling,'Tis Pity She's a Whore,1971,Rik Battaglia
Charlotte Rampling,'Tis Pity She's a Whore,1971,Charlotte Rampling
Charlotte Rampling,'Tis Pity She's a Whore,1971,Rino Imperio
Bryan Cranston,'Twas the Night,2001,Torri Higginson
Bryan Cranston,'Twas the Night,2001,Sandy Robson
Bryan Cranston,'Twas the Night,2001,Barclay Hope
Bryan Cranston,'Twas the Night,2001,Bryan Cranston
Bryan Cranston,'Twas the Night,2001,Brenda Grate
Bryan Cranston,'Twas the Night,2001,Jeff Geddis
Bryan Cranston,'Twas the Night,2001,Jefferson Mappin
Bryan Cranston,'Twas the Night,2001,Josh Zuckerman
Allison Janney,10 Things I Hate About You,1999,Larisa Oleynik
Allison Janney,10 Things I Hate About You,1999,Heath Ledger
Allison Janney,10 Things I Hate About You,1999,Joseph Gordon-Levitt
Allison Janney,10 Things I Hate About You,1999,Julia Stiles
Allison Janney,10 Things I Hate About You,1999,David Krumholtz
Benedict Cumberbatch,12 Years a Slave,2013,Adepero Oduye
Benedict Cumberbatch,12 Years a Slave,2013,Sarah Paulson
Benedict Cumberbatch,12 Years a Slave,2013,Michael Fassbender
Benedict Cumberbatch,12 Years a Slave,2013,Paul Dano
Benedict Cumberbatch,12 Years a Slave,2013,Scoot McNairy
Benedict Cumberbatch,12 Years a Slave,2013,Lupita Nyong'o
Benedict Cumberbatch,12 Years a Slave,2013,Chiwetel Ejiofor
Benedict Cumberbatch,12 Years a Slave,2013,Benedict Cumberbatch
Brie Larson,13 Going on 30,2004,Jennifer Garner
Brie Larson,13 Going on 30,2004,Mark Ruffalo
Brie Larson,13 Going on 30,2004,Christa B. Allen
Brie Larson,13 Going on 30,2004,Andy Serkis
Brie Larson,13 Going on 30,2004,Judy Greer
J.K. Simmons,21 Bridges,2019,read the rest.
J.K. Simmons,21 Bridges,2019,Louis Cancelmi
J.K. Simmons,21 Bridges,2019,J.K. Simmons
J.K. Simmons,21 Bridges,2019,Alexander Siddig
J.K. Simmons,21 Bridges,2019,Taylor Kitsch
J.K. Simmons,21 Bridges,2019,Chadwick Boseman
J.K. Simmons,21 Bridges,2019,Sienna Miller
J.K. Simmons,21 Bridges,2019,Stephan James
J.K. Simmons,21 Bridges,2019,Keith David
Brie Larson,21 Jump Street,2012,Jonah Hill
Brie Larson,21 Jump Street,2012,Channing Tatum
Brie Larson,21 Jump Street,2012,Dave Franco
Brie Larson,21 Jump Street,2012,Rob Riggle
Brie Larson,21 Jump Street,2012,Brie Larson
Naomie Harris,28 Days Later,2002,Cillian Murphy
Naomie Harris,28 Days Later,2002,Brendan Gleeson
Naomie Harris,28 Days Later,2002,read the rest.
Naomie Harris,28 Days Later,2002,Noah Huntley
Naomie Harris,28 Days Later,2002,Megan Burns
Naomie Harris,28 Days Later,2002,Christopher Eccleston
Naomie Harris,28 Days Later,2002,Naomie Harris
Naomie Harris,28 Days Later,2002,Emma Hitching
Naomie Harris,28 Days Later,2002,Christopher Dunne
J.K. Simmons,3 Days with Dad,2019,Lesley Ann Warren
J.K. Simmons,3 Days with Dad,2019,Brian Dennehy
J.K. Simmons,3 Days with Dad,2019,Larry Clarke
J.K. Simmons,3 Days with Dad,2019,Mo Gaffney
J.K. Simmons,3 Days with Dad,2019,Eric Edelstein
J.K. Simmons,3 Days with Dad,2019,Jon Gries
J.K. Simmons,3 Days with Dad,2019,Chris Bauer
J.K. Simmons,3 Days with Dad,2019,Tom Arnold
J.K. Simmons,3 Geezers!,2013,Kevin Pollak
J.K. Simmons,3 Geezers!,2013,Tim Allen
J.K. Simmons,3 Geezers!,2013,Scott Caan
J.K. Simmons,3 Geezers!,2013,Sam Raimi
J.K. Simmons,3 Geezers!,2013,Basil Hoffman
J.K. Simmons,3 Geezers!,2013,J.K. Simmons
J.K. Simmons,3 Geezers!,2013,Randy Couture
J.K. Simmons,3: The Dale Earnhardt Story,2004,Ernest Whitted
J.K. Simmons,3: The Dale Earnhardt Story,2004,Andrea Powell
J.K. Simmons,3: The Dale Earnhardt Story,2004,Elizabeth Mitchell
J.K. Simmons,3: The Dale Earnhardt Story,2004,Barry Pepper
J.K. Simmons,3: The Dale Earnhardt Story,2004,J.K. Simmons
J.K. Simmons,4192: The Crowning of the Hit King,2010,J.K. Simmons
Charlotte Rampling,45 Years,2015,Geraldine James
Charlotte Rampling,45 Years,2015,Hannah Chalmers
Charlotte Rampling,45 Years,2015,Tom Courtenay
Charlotte Rampling,45 Years,2015,Charlotte Rampling
Charlotte Rampling,45 Years,2015,David Sibley
Charlotte Rampling,45 Years,2015,Dolly Wells
Charlotte Rampling,45 Years,2015,read the rest.
Charlotte Rampling,45 Years,2015,Sam Alexander
Charlotte Rampling,45 Years,2015,Richard Cunningham
Rosamund Pike,7 Days in Entebbe,2018,read the rest.
Rosamund Pike,7 Days in Entebbe,2018,Andrea Deck
Rosamund Pike,7 Days in Entebbe,2018,Eddie Marsan
Rosamund Pike,7 Days in Entebbe,2018,Denis MÃ©nochet
Rosamund Pike,7 Days in Entebbe,2018,Daniel BrÃ_hl
Rosamund Pike,7 Days in Entebbe,2018,Rosamund Pike
Rosamund Pike,7 Days in Entebbe,2018,Ben Schnetzer
Rosamund Pike,7 Days in Entebbe,2018,Nonso Anozie
Rosamund Pike,7 Days in Entebbe,2018,Lior Ashkenazi
Isabelle Huppert,8 Women,2002,Isabelle Huppert
Isabelle Huppert,8 Women,2002,Danielle Darrieux
Isabelle Huppert,8 Women,2002,Fanny Ardant
Isabelle Huppert,8 Women,2002,Ludivine Sagnier
Isabelle Huppert,8 Women,2002,Virginie Ledoyen
Isabelle Huppert,8 Women,2002,Firmine Richard
Isabelle Huppert,8 Women,2002,Catherine Deneuve
Isabelle Huppert,8 Women,2002,Emmanuelle BÃ©art
Patricia Arquette,9 Kisses,2014,Laura Dern
Patricia Arquette,9 Kisses,2014,Steve Carell
Patricia Arquette,9 Kisses,2014,Rosario Dawson
Patricia Arquette,9 Kisses,2014,Kristen Stewart
Patricia Arquette,9 Kisses,2014,Reese Witherspoon
Patricia Arquette,9 Kisses,2014,Benedict Cumberbatch
Patricia Arquette,9 Kisses,2014,Chadwick Boseman
Patricia Arquette,9 Kisses,2014,Jenny Slate
Benedict Cumberbatch,9 Kisses,2014,Jenny Slate
Benedict Cumberbatch,9 Kisses,2014,Reese Witherspoon
Benedict Cumberbatch,9 Kisses,2014,Chadwick Boseman
Benedict Cumberbatch,9 Kisses,2014,Laura Dern
Benedict Cumberbatch,9 Kisses,2014,Steve Carell
Benedict Cumberbatch,9 Kisses,2014,Benedict Cumberbatch
Benedict Cumberbatch,9 Kisses,2014,Kristen Stewart
Benedict Cumberbatch,9 Kisses,2014,Rosario Dawson
Steve Carell,9 Kisses,2014,Jenny Slate
Steve Carell,9 Kisses,2014,Rosario Dawson
Steve Carell,9 Kisses,2014,Laura Dern
Steve Carell,9 Kisses,2014,Reese Witherspoon
Steve Carell,9 Kisses,2014,Steve Carell
Steve Carell,9 Kisses,2014,Chadwick Boseman
Steve Carell,9 Kisses,2014,Benedict Cumberbatch
Steve Carell,9 Kisses,2014,Kristen Stewart
Andrew Garfield,99 Homes,2014,Michael Shannon
Andrew Garfield,99 Homes,2014,Nicole BarrÃ©
Andrew Garfield,99 Homes,2014,Noah Lomax
Andrew Garfield,99 Homes,2014,Tim Guinee
Andrew Garfield,99 Homes,2014,Clancy Brown
Andrew Garfield,99 Homes,2014,Laura Dern
Andrew Garfield,99 Homes,2014,read the rest.
Andrew Garfield,99 Homes,2014,J.D. Evermore
Andrew Garfield,99 Homes,2014,Andrew Garfield
J.K. Simmons,A Beginner's Guide to Endings,2010,Allison Graham
J.K. Simmons,A Beginner's Guide to Endings,2010,Paulo Costanzo
J.K. Simmons,A Beginner's Guide to Endings,2010,J.K. Simmons
J.K. Simmons,A Beginner's Guide to Endings,2010,Tricia Helfer
J.K. Simmons,A Beginner's Guide to Endings,2010,Harvey Keitel
J.K. Simmons,A Beginner's Guide to Endings,2010,Jared Keeso
J.K. Simmons,A Beginner's Guide to Endings,2010,Alex Appel
J.K. Simmons,A Beginner's Guide to Endings,2010,Scott Caan
Allison Janney,A Book of Common Prayer,2015,Rachel Brosnahan
Allison Janney,A Book of Common Prayer,2015,Christina Hendricks
Allison Janney,A Book of Common Prayer,2015,Campbell Scott
Allison Janney,A Book of Common Prayer,2015,Hart Bochner
Allison Janney,A Book of Common Prayer,2015,Allison Janney
J.K. Simmons,A Boy Called Sailboat,2018,Noel Gugliemi
J.K. Simmons,A Boy Called Sailboat,2018,Elizabeth De Razzo
J.K. Simmons,A Boy Called Sailboat,2018,J.K. Simmons
J.K. Simmons,A Boy Called Sailboat,2018,Lew Temple
J.K. Simmons,A Boy Called Sailboat,2018,Bernard Curry
J.K. Simmons,A Boy Called Sailboat,2018,Jake Busey
J.K. Simmons,A Boy Called Sailboat,2018,Addam Bramich
J.K. Simmons,A Boy Called Sailboat,2018,Julian Atocani Sanchez
Tom Hardy,A Christmas Carol,2019,Johnny Harris
Tom Hardy,A Christmas Carol,2019,Charlotte Riley
Tom Hardy,A Christmas Carol,2019,Joe Alwyn
Tom Hardy,A Christmas Carol,2019,Guy Pearce
Tom Hardy,A Christmas Carol,2019,Stephen Graham
Tom Hardy,A Christmas Carol,2019,Andy Serkis
Tom Hardy,A Christmas Carol,2019,Vinette Robinson
Tom Hardy,A Christmas Carol,2019,Jason Flemyng
Naomie Harris,A Cock and Bull Story,2005,Rob Brydon
Naomie Harris,A Cock and Bull Story,2005,Joe Williams
Naomie Harris,A Cock and Bull Story,2005,Steve Coogan
Naomie Harris,A Cock and Bull Story,2005,Shirley Henderson
Naomie Harris,A Cock and Bull Story,2005,Paul Kynman
Naomie Harris,A Cock and Bull Story,2005,Keeley Hawes
Naomie Harris,A Cock and Bull Story,2005,Conal Murphy
Naomie Harris,A Cock and Bull Story,2005,Raymond Waring
Michael Keaton,A Different Approach,1978,Norman Lear
Michael Keaton,A Different Approach,1978,Carroll O'Connor
Michael Keaton,A Different Approach,1978,Melissa Sue Anderson
Michael Keaton,A Different Approach,1978,Jim Nabors
Michael Keaton,A Different Approach,1978,Rue McClanahan
Michael Keaton,A Different Approach,1978,Michael Keaton
Michael Keaton,A Different Approach,1978,Stockard Channing
Michael Keaton,A Different Approach,1978,Lucie Arnaz
Charlotte Rampling,A Dubious Place,2010,Pascal Greggory
Charlotte Rampling,A Dubious Place,2010,Corinne Masiero
Charlotte Rampling,A Dubious Place,2010,HÃ©lÃ¨ne FilliÃ¨res
Charlotte Rampling,A Dubious Place,2010,David Atrakchi
Charlotte Rampling,A Dubious Place,2010,Jean-Hugues Anglade
Charlotte Rampling,A Dubious Place,2010,Roland CopÃ©
Charlotte Rampling,A Dubious Place,2010,Charlotte Rampling
Charlotte Rampling,A Dubious Place,2010,Jacques Spiesser
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Jon Favreau
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Eric Hauserman Carroll
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Robert Downey Jr.
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Laura Harrier
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Kevin Feige
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Zendaya
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Tom Holland
Michael Keaton,A Fan's Guide to Spider-Man: Homecoming,2017,Michael Keaton
Tom Hardy,A for Andromeda,2006,Kelly Reilly
Tom Hardy,A for Andromeda,2006,Jane Asher
Tom Hardy,A for Andromeda,2006,Colin Stinton
Tom Hardy,A for Andromeda,2006,David Haig
Tom Hardy,A for Andromeda,2006,Charlie Cox
Tom Hardy,A for Andromeda,2006,Tom Hardy
Allison Janney,A Girl Thing,2001,Linda Hamilton
Allison Janney,A Girl Thing,2001,Mia Farrow
Allison Janney,A Girl Thing,2001,Kate Capshaw
Allison Janney,A Girl Thing,2001,Stockard Channing
Allison Janney,A Girl Thing,2001,Rebecca De Mornay
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Charlie Sheen
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Mary Elizabeth Winstead
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Dermot Mulroney
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Katheryn Winnick
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Jason Schwartzman
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Bill Murray
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Aubrey Plaza
Patricia Arquette,A Glimpse Inside the Mind of Charles Swan III,2012,Patricia Arquette
Allison Janney,A Happening of Monumental Proportions,2017,Common
Allison Janney,A Happening of Monumental Proportions,2017,Allison Janney
Allison Janney,A Happening of Monumental Proportions,2017,Rob Riggle
Allison Janney,A Happening of Monumental Proportions,2017,Anders Holm
Allison Janney,A Happening of Monumental Proportions,2017,Bradley Whitford
Charlotte Rampling,A Hard Day's Night,1964,Ringo Starr
Charlotte Rampling,A Hard Day's Night,1964,John Junkin
Charlotte Rampling,A Hard Day's Night,1964,Wilfrid Brambell
Charlotte Rampling,A Hard Day's Night,1964,Norman Rossington
Charlotte Rampling,A Hard Day's Night,1964,Paul McCartney
Charlotte Rampling,A Hard Day's Night,1964,John Lennon
Charlotte Rampling,A Hard Day's Night,1964,George Harrison
Charlotte Rampling,A Hard Day's Night,1964,Victor Spinetti
Rosamund Pike,A Long Way Down,2014,Pierce Brosnan
Rosamund Pike,A Long Way Down,2014,read the rest.
Rosamund Pike,A Long Way Down,2014,Tuppence Middleton
Rosamund Pike,A Long Way Down,2014,Imogen Poots
Rosamund Pike,A Long Way Down,2014,Toni Collette
Rosamund Pike,A Long Way Down,2014,Aaron Paul
