actor,show,year,top_cast,episodes
Bryan Cranston,Archer,2009,George Coe,2
Bryan Cranston,Archer,2009,Judy Greer,2
Bryan Cranston,Archer,2009,Chris Parnell,2
Bryan Cranston,Archer,2009,Amber Nash,2
Bryan Cranston,Archer,2009,Jessica Walter,2
Bryan Cranston,Archer,2009,Lucky Yates,2
Bryan Cranston,Archer,2009,Aisha Tyler,2
Bryan Cranston,Archer,2009,Adam Reed,2
Bryan Cranston,Archer,2009,H. Jon Benjamin,2
Eddie Redmayne,Birdsong,2012,Thomas Turgoose,2
Eddie Redmayne,Birdsong,2012,Matthew Goode,2
Eddie Redmayne,Birdsong,2012,Simon Nehan,2
Eddie Redmayne,Birdsong,2012,ClÃ©mence PoÃ©sy,2
Eddie Redmayne,Birdsong,2012,Misi Dunai,2
Eddie Redmayne,Birdsong,2012,Joseph Mawle,2
Eddie Redmayne,Birdsong,2012,Richard Madden,2
Eddie Redmayne,Birdsong,2012,George MacKay,2
Eddie Redmayne,Birdsong,2012,Eddie Redmayne,2
Naomie Harris,Blood And Oil,2010,Paterson Joseph,2
Naomie Harris,Blood And Oil,2010,Naomie Harris,2
Naomie Harris,Blood And Oil,2010,Jodhi May,2
Naomie Harris,Blood And Oil,2010,Nyasha Hatendi,2
Naomie Harris,Blood And Oil,2010,David Oyelowo,2
Bryan Cranston,Brooklyn South,1997,Gary Basaraba,2
Bryan Cranston,Brooklyn South,1997,Adam RodrÃ_guez,2
Bryan Cranston,Brooklyn South,1997,Klea Scott,2
Bryan Cranston,Brooklyn South,1997,Dylan Walsh,2
Bryan Cranston,Brooklyn South,1997,Richard T. Jones,2
Bryan Cranston,Brooklyn South,1997,Jon Tenney,2
Bryan Cranston,Brooklyn South,1997,Titus Welliver,2
Bryan Cranston,Brooklyn South,1997,Michael DeLuise,2
Bryan Cranston,Brooklyn South,1997,James Sikking,2
Patricia Arquette,Celebrities Uncensored,2003,Ben Affleck,2
Patricia Arquette,Celebrities Uncensored,2003,Paris Hilton,2
Patricia Arquette,Celebrities Uncensored,2003,Jess Harnell,2
Patricia Arquette,Celebrities Uncensored,2003,Demi Moore,2
Patricia Arquette,Celebrities Uncensored,2003,Tommy Lee,2
Patricia Arquette,Celebrities Uncensored,2003,Britney Spears,2
Patricia Arquette,Celebrities Uncensored,2003,Brad Pitt,2
Patricia Arquette,Celebrities Uncensored,2003,Anna Nicole Smith,2
Patricia Arquette,Celebrities Uncensored,2003,George Clooney,2
Emma Stone,Close Up with The Hollywood Reporter,2015,Lacey Rose,2
Emma Stone,Close Up with The Hollywood Reporter,2015,Stephen Galloway,2
Emma Stone,Close Up with The Hollywood Reporter,2015,David Mandel,2
Emma Stone,Close Up with The Hollywood Reporter,2015,Kenya Barris,2
Emma Stone,Close Up with The Hollywood Reporter,2015,Stacey Wilson,2
Allison Janney,Close Up with The Hollywood Reporter,2015,David Mandel,2
Allison Janney,Close Up with The Hollywood Reporter,2015,Kenya Barris,2
Allison Janney,Close Up with The Hollywood Reporter,2015,Stacey Wilson,2
Allison Janney,Close Up with The Hollywood Reporter,2015,Stephen Galloway,2
Allison Janney,Close Up with The Hollywood Reporter,2015,Lacey Rose,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,David Mandel,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Kenya Barris,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Regina King,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Niecy Nash,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Lacey Rose,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Stacey Wilson,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Maggie Gyllenhaal,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Nina Jacobson,2
Mahershala Ali,Close Up with The Hollywood Reporter,2015,Stephen Galloway,2
Tom Hardy,Colditz,2005,James Fox,2
Tom Hardy,Colditz,2005,Sophia Myles,2
Tom Hardy,Colditz,2005,Guy Henry,2
Tom Hardy,Colditz,2005,Tom Hardy,2
Tom Hardy,Colditz,2005,Damian Lewis,2
Tom Hardy,Colditz,2005,Laurence Fox,2
Tom Hardy,Colditz,2005,Jason Priestley,2
Tom Hardy,Colditz,2005,Robert Whitelock,2
Tom Hardy,Colditz,2005,Timothy West,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Paul Guilfoyle,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Marg Helgenberger,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,William Petersen,2
Patricia Arquette,CSI: Crime Scene Investigation,2000,Eric Szmanda,2
