¥éËweb-scraper-order,web-scraper-start-url,notelink,notelink-href,familyname,notename
1574392650-1021,https://www.fragrantica.com/notes/,Cilantro,https://www.fragrantica.com/notes/Cilantro-993.html,"GREENS, HERBS AND FOUGERES",Cilantro
1574392753-1050,https://www.fragrantica.com/notes/,Ammophila (beach grass),https://www.fragrantica.com/notes/Ammophila-beach-grass-890.html,"GREENS, HERBS AND FOUGERES",Ammophila (beach grass)
1574392727-1043,https://www.fragrantica.com/notes/,Azolla (Water Fern),https://www.fragrantica.com/notes/Azolla-Water-Fern-963.html,"GREENS, HERBS AND FOUGERES",Azolla (Water Fern)
1574394129-1421,https://www.fragrantica.com/notes/,Lemon Zest,https://www.fragrantica.com/notes/Lemon-Zest-788.html,CITRUS SMELLS,Lemon Zest
1574391628-764,https://www.fragrantica.com/notes/,Fir Balsam,https://www.fragrantica.com/notes/Fir-205.html,WOODS AND MOSSES,Fir Balsam
1574392771-1055,https://www.fragrantica.com/notes/,White Flowers,https://www.fragrantica.com/notes/White-Flowers-323.html,WHITE FLOWERS,White Flowers
1574392987-1110,https://www.fragrantica.com/notes/,White Rose,https://www.fragrantica.com/notes/Rose-Mallow-241.html,FLOWERS,White Rose
1574390776-586,https://www.fragrantica.com/notes/,Aluminum,https://www.fragrantica.com/notes/Aluminum-456.html,SYNTHETIC,Aluminum
1574394133-1422,https://www.fragrantica.com/notes/,Lemon Verbena,https://www.fragrantica.com/notes/Lemon-Verbena-120.html,CITRUS SMELLS,Lemon Verbena
1574394126-1420,https://www.fragrantica.com/notes/,Lemongrass,https://www.fragrantica.com/notes/Lemongrass-358.html,CITRUS SMELLS,Lemongrass
1574393303-1197,https://www.fragrantica.com/notes/,Honeydew Blossom,https://www.fragrantica.com/notes/Honeydew-Blossom-809.html,FLOWERS,Honeydew Blossom
1574390538-513,https://www.fragrantica.com/notes/,Pollen,https://www.fragrantica.com/notes/Pollen-896.html,SYNTHETIC,Pollen
1574390586-527,https://www.fragrantica.com/notes/,Mitti Attar,https://www.fragrantica.com/notes/Mitti-Attar-799.html,SYNTHETIC,Mitti Attar
1574392739-1047,https://www.fragrantica.com/notes/,Arnica,https://www.fragrantica.com/notes/Arnica-518.html,"GREENS, HERBS AND FOUGERES",Arnica
1574391800-806,https://www.fragrantica.com/notes/,Yogurt,https://www.fragrantica.com/notes/Yogurt-970.html,SWEETS AND GOURMAND SMELLS,Yogurt
1574393952-1374,https://www.fragrantica.com/notes/,Currant leaf and bud,https://www.fragrantica.com/notes/Currant-leaf-and-bud-337.html,"FRUITS, VEGETABLES AND NUTS",Currant leaf and bud
1574393627-1280,https://www.fragrantica.com/notes/,Angel's Trumpet,https://www.fragrantica.com/notes/Angel-s-Trumpet-377.html,FLOWERS,Angel's Trumpet
1574391911-835,https://www.fragrantica.com/notes/,Icing pink,https://www.fragrantica.com/notes/Icing-pink-653.html,SWEETS AND GOURMAND SMELLS,Icing pink
1574393908-1362,https://www.fragrantica.com/notes/,Gooseberry,https://www.fragrantica.com/notes/Gooseberry-249.html,"FRUITS, VEGETABLES AND NUTS",Gooseberry
1574393258-1187,https://www.fragrantica.com/notes/,Kadam,https://www.fragrantica.com/notes/Kadam-737.html,FLOWERS,Kadam
1574393728-1308,https://www.fragrantica.com/notes/,Snowberry,https://www.fragrantica.com/notes/Snowberry-746.html,"FRUITS, VEGETABLES AND NUTS",Snowberry
