web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575162920-6578","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PREMIUM ABSTRACT PRINT T-SHIRT","https://www.zara.com/us/en/premium-abstract-print-t-shirt-p00495328.html","PREMIUM ABSTRACT PRINT T-SHIRT Details","29.90 USD","White"
"1575162977-6604","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","AIRPLANE TEXT T-SHIRT","https://www.zara.com/us/en/airplane-text-t-shirt-p05644319.html","AIRPLANE TEXT T-SHIRT Details","17.90 USD","Orange"
"1575162603-6441","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","WAFFLE WEAVE SHIRT","https://www.zara.com/us/en/waffle-weave-shirt-p02888307.html","WAFFLE WEAVE SHIRT Details","25.90 USD","Black"
"1575162677-6474","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","SLOGAN T-SHIRT WITH TEXTURE","https://www.zara.com/us/en/slogan-t-shirt-with-texture-p00679306.html","SLOGAN T-SHIRT WITH TEXTURE Details","25.90 USD","Natural"
"1575162811-6530","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","FLORAL PRINTED T-SHIRT","https://www.zara.com/us/en/floral-printed-t-shirt-p00977313.html","FLORAL PRINTED T-SHIRT Details","29.90 USD","White"
"1575162780-6520","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PORKY © WARNER BROS. INC. SHIRT","https://www.zara.com/us/en/porky-%C2%A9-warner-bros--inc--shirt-p01165308.html","PORKY © WARNER BROS. INC. SHIRT Details","29.90 USD","Black"
"1575162587-6434","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","™©BANDAI NAMCO PACMAN T-SHIRT","https://www.zara.com/us/en/%E2%84%A2%C2%A9bandai-namco-pacman-t-shirt-p05644400.html","™©BANDAI NAMCO PACMAN T-SHIRT Details","25.90 USD","Black"
"1575162577-6429","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162969-6600","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STRIPED SHIRT WITH TEXT","https://www.zara.com/us/en/striped-shirt-with-text-p00962326.html","STRIPED SHIRT WITH TEXT Details","25.90 USD","Natural"
"1575163004-6617","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","ESSENCE TIE DYE T-SHIRT","https://www.zara.com/us/en/essence-tie-dye-t-shirt-p01701317.html","ESSENCE TIE DYE T-SHIRT Details","29.90 USD","Black"
"1575162937-6586","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","T-SHIRT WITH BUTTONS","https://www.zara.com/us/en/t-shirt-with-buttons-p00722343.html","T-SHIRT WITH BUTTONS Details","35.90 USD","Black"
"1575162635-6455","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PALM TREE PRINT T-SHIRT","https://www.zara.com/us/en/palm-tree-print-t-shirt-p00962314.html","PALM TREE PRINT T-SHIRT Details","29.90 USD","Natural"
"1575162994-6612","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","LETTER PRINT T-SHIRT","https://www.zara.com/us/en/letter-print-t-shirt-p05644316.html","LETTER PRINT T-SHIRT Details","17.90 USD","White"
"1575162686-6478","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","CAMOUFLAGE PRINT T-SHIRT","https://www.zara.com/us/en/camouflage-print-t-shirt-p00679314.html","CAMOUFLAGE PRINT T-SHIRT Details","29.90 USD","Khaki"
"1575162924-6580","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PREMIUM SHIRT WITH POCKET","https://www.zara.com/us/en/premium-shirt-with-pocket-p04087343.html","PREMIUM SHIRT WITH POCKET Details","35.90 USD","Black"
"1575162577-6402","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162697-6483","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STRIPED JACQUARD T-SHIRT","https://www.zara.com/us/en/striped-jacquard-t-shirt-p04087305.html","STRIPED JACQUARD T-SHIRT Details","29.90 USD","Navy blue"
"1575162577-6409","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162577-6416","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162911-6574","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","JACQUARD TEXTURED TOP","https://www.zara.com/us/en/jacquard-textured-top-p04087336.html","JACQUARD TEXTURED TOP Details","35.90 USD","Natural"
"1575162983-6607","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PRINTED PHOTOGRAPH T-SHIRT","https://www.zara.com/us/en/printed-photograph-t-shirt-p05350400.html","PRINTED PHOTOGRAPH T-SHIRT Details","25.90 USD","Orange"
"1575162991-6611","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PRINTED T-SHIRT","https://www.zara.com/us/en/printed-t-shirt-p05350300.html","PRINTED T-SHIRT Details","17.90 USD","Black"
"1575162666-6470","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PREMIUM STRIPED T-SHIRT","https://www.zara.com/us/en/premium-striped-t-shirt-p02344300.html","PREMIUM STRIPED T-SHIRT Details","29.90 USD","White"
"1575162577-6404","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162755-6510","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","LOONEY TUNES © &™ WBEI SHIRT","https://www.zara.com/us/en/looney-tunes-%C2%A9--%E2%84%A2-wbei-shirt-p00722305.html","LOONEY TUNES © &™ WBEI SHIRT Details","25.90 USD","Oyster White"
"1575162962-6597","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","EMBROIDERED SAILBOAT T-SHIRT","https://www.zara.com/us/en/embroidered-sailboat-t-shirt-p04087339.html","EMBROIDERED SAILBOAT T-SHIRT Details","29.90 USD","Navy blue"
"1575163008-6619","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","STAR WARS © DISNEY T-SHIRT","https://www.zara.com/us/en/star-wars-%C2%A9-disney-t-shirt-p00977401.html","STAR WARS © DISNEY T-SHIRT Details","29.90 USD","Black"
"1575162577-6400","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162734-6500","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","CONTRASTING EMBROIDERY T-SHIRT","https://www.zara.com/us/en/contrasting-embroidery-t-shirt-p00495311.html","CONTRASTING EMBROIDERY T-SHIRT Details","29.90 USD","White"
"1575162577-6406","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","null","","","",""
"1575162770-6517","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","© MARVEL MARVEL LOGO T-SHIRT","https://www.zara.com/us/en/%C2%A9-marvel-marvel-logo-t-shirt-p00977310.html","© MARVEL MARVEL LOGO T-SHIRT Details","29.90 USD","White"
"1575162688-6479","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","T-SHIRT WITH VERTICAL STRIPES","https://www.zara.com/us/en/t-shirt-with-vertical-stripes-p01165302.html","T-SHIRT WITH VERTICAL STRIPES Details","25.90 USD","White"
"1575162931-6583","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","PRINCE EMBROIDERED T-SHIRT © THE PRINCE ESTATE","https://www.zara.com/us/en/prince-embroidered-t-shirt-%C2%A9-the-prince-estate-p01277406.html","PRINCE EMBROIDERED T-SHIRT © THE PRINCE ESTATE Details","35.90 USD","Black"
"1575162744-6505","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","CONTRASTING PRINT SHIRT","https://www.zara.com/us/en/contrasting-print-shirt-p06224305.html","CONTRASTING PRINT SHIRT Details","25.90 USD","Black"
"1575162609-6443","https://www.zara.com/us/en/man-tshirts-l855.html?v1=1282833","FLOWY SWEATER","https://www.zara.com/us/en/flowy-sweater-p04231406.html","FLOWY SWEATER Details","35.90 USD","White"
