web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575147070-4442","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH RUCHING","https://www.zara.com/us/en/top-with-ruching-p05039456.html","TOP WITH RUCHING Details","19.90 USD","White"
"1575147726-4751","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","SEQUIN BODYSUIT","https://www.zara.com/us/en/sequin-bodysuit-p07901856.html","SEQUIN BODYSUIT Details","29.90 USD","Gray"
"1575146935-4331","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147418-4607","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","PLEATED T-SHIRT","https://www.zara.com/us/en/pleated-t-shirt-p05039914.html","PLEATED T-SHIRT Details","29.90 USD","Black"
"1575146935-4325","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147644-4715","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FRONT PRINT T-SHIRT","https://www.zara.com/us/en/front-print-t-shirt-p00085636.html","FRONT PRINT T-SHIRT Details","17.90 USD","Black / White"
"1575146935-4342","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147474-4633","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","SOFT TOUCH SHIRT","https://www.zara.com/us/en/soft-touch-shirt-p02712632.html","SOFT TOUCH SHIRT Details","19.90 USD","Stone"
"1575147394-4596","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","CONTRAST TOP","https://www.zara.com/us/en/contrast-top-p05039920.html","CONTRAST TOP Details","25.90 USD","Oyster White"
"1575147426-4611","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","FRONT PRINT T-SHIRT","https://www.zara.com/us/en/front-print-t-shirt-p05580634.html","FRONT PRINT T-SHIRT Details","25.90 USD","Black"
"1575147678-4730","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","BAMBI ©DISNEY T-SHIRT","https://www.zara.com/us/en/bambi-%C2%A9disney-t-shirt-p00264673.html","BAMBI ©DISNEY T-SHIRT Details","19.90 USD","White"
"1575147031-4425","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TNK 03","https://www.zara.com/us/en/tnk-03-p04566201.html","TNK 03 Details","29.90 USD","Khaki"
"1575147106-4459","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","STRUCTURED SHIRT WITH KNOT","https://www.zara.com/us/en/structured-shirt-with-knot-p05584903.html","STRUCTURED SHIRT WITH KNOT Details","17.90 USD","White"
"1575146935-4322","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147816-4794","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","DISNEY DUMBO© T-SHIRT","https://www.zara.com/us/en/disney-dumbo%C2%A9-t-shirt-p00962452.html","DISNEY DUMBO© T-SHIRT Details","25.90 USD","White"
"1575147216-4512","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","ELVIS PRESLEY™ PRINT T-SHIRT","https://www.zara.com/us/en/elvis-presley%E2%84%A2-print-t-shirt-p05644629.html","ELVIS PRESLEY™ PRINT T-SHIRT Details","29.90 USD","Sky blue"
"1575147076-4445","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","COMBINATION PLEATED T-SHIRT","https://www.zara.com/us/en/combination-pleated-t-shirt-p00264451.html","COMBINATION PLEATED T-SHIRT Details","19.90 USD","champagne"
"1575147664-4725","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","PINK PANTHER™ T-SHIRT","https://www.zara.com/us/en/pink-panther%E2%84%A2-t-shirt-p00962640.html","PINK PANTHER™ T-SHIRT Details","25.90 USD","Blue"
"1575147138-4474","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","WRINKLE EFFECT TOP","https://www.zara.com/us/en/wrinkle-effect-top-p01165716.html","WRINKLE EFFECT TOP Details","29.90 USD","Sand"
"1575146935-4369","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","null","","","",""
"1575147577-4683","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","LACE TOP","https://www.zara.com/us/en/lace-top-p01067460.html","LACE TOP Details","35.90 USD","Black"
"1575147552-4671","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","THE VILLAIN ©DISNEY T-SHIRT","https://www.zara.com/us/en/the-villain-%C2%A9disney-t-shirt-p04770802.html","THE VILLAIN ©DISNEY T-SHIRT Details","25.90 USD","Anthracite grey"
"1575147327-4564","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","TOP WITH ELASTIC INSERTS","https://www.zara.com/us/en/top-with-elastic-inserts-p01131922.html","TOP WITH ELASTIC INSERTS Details","25.90 USD","Printed"
"1575147807-4790","https://www.zara.com/us/en/woman-tshirts-l1362.html?v1=1281620","OVERSIZED POCKET T-SHIRT","https://www.zara.com/us/en/oversized-pocket-t-shirt-p00264635.html","OVERSIZED POCKET T-SHIRT Details","19.90 USD","White"
