web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575164114-6932","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","CONTRASTING SUIT JACKET","https://www.zara.com/us/en/contrasting-suit-jacket-p06500123.html","CONTRASTING SUIT JACKET Details","149.00 USD","Black"
"1575163909-6830","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163909-6835","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164121-6935","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXT VELVET JACKET","https://www.zara.com/us/en/text-velvet-jacket-p04161309.html","TEXT VELVET JACKET Details","89.90 USD","Black"
"1575163909-6825","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164128-6938","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","COMBINATION LAPEL COLLAR BLAZER","https://www.zara.com/us/en/combination-lapel-collar-blazer-p01608312.html","COMBINATION LAPEL COLLAR BLAZER Details","69.90 USD","Black"
"1575164108-6929","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","WOOL BLEND SUIT JACKET","https://www.zara.com/us/en/wool-blend-suit-jacket-p02880320.html","WOOL BLEND SUIT JACKET Details","149.00 USD","Anthracite Gray"
"1575164008-6884","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","BIRDSEYE SUIT JACKET","https://www.zara.com/us/en/birdseye-suit-jacket-p01564320.html","BIRDSEYE SUIT JACKET Details","149.00 USD","Bluish"
"1575163926-6846","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID WAISTCOAT","https://www.zara.com/us/en/plaid-waistcoat-p02880316.html","PLAID WAISTCOAT Details","69.90 USD","Black / White"
"1575164090-6920","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRIPED SUIT JACKET","https://www.zara.com/us/en/striped-suit-jacket-p02880302.html","STRIPED SUIT JACKET Details","149.00 USD","Navy blue"
"1575164063-6908","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED HOUNDSTOOTH JACKET","https://www.zara.com/us/en/textured-houndstooth-jacket-p05878837.html","TEXTURED HOUNDSTOOTH JACKET Details","199.00 USD","Gray"
"1575164106-6928","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","FLANNEL SUIT JACKET","https://www.zara.com/us/en/flannel-suit-jacket-p06490731.html","FLANNEL SUIT JACKET Details","199.00 USD","Gray"
"1575163965-6865","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","DOUBLE BREASTED CARDIGAN BLAZER","https://www.zara.com/us/en/double-breasted-cardigan-blazer-p04228303.html","DOUBLE BREASTED CARDIGAN BLAZER Details","89.90 USD","Navy blue"
"1575164084-6918","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH KNIT SUIT JACKET","https://www.zara.com/us/en/stretch-knit-suit-jacket-p00706232.html","STRETCH KNIT SUIT JACKET Details","129.00 USD","Navy blue"
"1575163909-6832","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163909-6821","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163909-6827","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164125-6937","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","SATIN EFFECT BLAZER","https://www.zara.com/us/en/satin-effect-blazer-p06595369.html","SATIN EFFECT BLAZER Details","149.00 USD","Mauve"
"1575164092-6921","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT JACKET","https://www.zara.com/us/en/plaid-suit-jacket-p01564390.html","PLAID SUIT JACKET Details","149.00 USD","Blue"
"1575163909-6836","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575163963-6864","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WEAVE CARDIGAN BLAZER","https://www.zara.com/us/en/textured-weave-cardigan-blazer-p00693316.html","TEXTURED WEAVE CARDIGAN BLAZER Details","79.90 USD","Anthracite Gray"
"1575164073-6913","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID KNIT SUIT JACKET","https://www.zara.com/us/en/plaid-knit-suit-jacket-p00706190.html","PLAID KNIT SUIT JACKET Details","129.00 USD","taupe brown"
"1575164052-6903","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT JACKET","https://www.zara.com/us/en/plaid-suit-jacket-p05855860.html","PLAID SUIT JACKET Details","149.00 USD","Anthracite Gray"
"1575163909-6833","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","null","","","",""
"1575164082-6917","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED STRETCH KNIT JACKET","https://www.zara.com/us/en/textured-stretch-knit-jacket-p00706226.html","TEXTURED STRETCH KNIT JACKET Details","129.00 USD","Black / White"
"1575164110-6930","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","SOLID COLOR SUIT JACKET","https://www.zara.com/us/en/solid-color-suit-jacket-p00706670.html","SOLID COLOR SUIT JACKET Details","149.00 USD","Green / Blue"
"1575163911-6839","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","DOUBLE BREASTED SUIT JACKET","https://www.zara.com/us/en/double-breasted-suit-jacket-p06586124.html","DOUBLE BREASTED SUIT JACKET Details","149.00 USD","beige-pink"
"1575163949-6857","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WAISTCOAT","https://www.zara.com/us/en/textured-waistcoat-p00706295.html","TEXTURED WAISTCOAT Details","69.90 USD","Leopard"
"1575163984-6873","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID WAISTCOAT","https://www.zara.com/us/en/plaid-waistcoat-p00706276.html","PLAID WAISTCOAT Details","69.90 USD","Brown"
"1575163938-6852","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","CM/ST 03","https://www.zara.com/us/en/cm-st-03-p06486064.html","CM/ST 03 Details","129.00 USD","Khaki"
"1575163999-6880","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT JACKET","https://www.zara.com/us/en/plaid-suit-jacket-p00706388.html","PLAID SUIT JACKET Details","149.00 USD","Gray"
"1575163989-6875","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","BIRDSEYE TEXTURED WEAVE WAISTCOAT","https://www.zara.com/us/en/birdseye-textured-weave-waistcoat-p01564422.html","BIRDSEYE TEXTURED WEAVE WAISTCOAT Details","69.90 USD","Burgundy"
"1575164065-6909","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","WOOL BLEND TEXTURED JACKET","https://www.zara.com/us/en/wool-blend-textured-jacket-p05881805.html","WOOL BLEND TEXTURED JACKET Details","199.00 USD","Black"
"1575164100-6925","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","METALLIC STRIPE JACKET","https://www.zara.com/us/en/metallic-stripe-jacket-p05880835.html","METALLIC STRIPE JACKET Details","199.00 USD","Black"
"1575163971-6868","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","4-WAYS COMFORT KNIT SUIT VEST IN PLAID","https://www.zara.com/us/en/4-ways-comfort-knit-suit-vest-in-plaid-p00706630.html","4-WAYS COMFORT KNIT SUIT VEST IN PLAID Details","49.90 USD","Navy blue"
"1575164080-6916","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID BLAZER","https://www.zara.com/us/en/plaid-blazer-p02922332.html","PLAID BLAZER Details","119.00 USD","taupe brown"
"1575164033-6895","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TRAVELER SUIT JACKET","https://www.zara.com/us/en/traveler-suit-jacket-p08288311.html","TRAVELER SUIT JACKET Details","129.00 USD","Navy blue"
"1575164078-6915","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID DOUBLE BREASTED BALZER","https://www.zara.com/us/en/plaid-double-breasted-balzer-p00706400.html","PLAID DOUBLE BREASTED BALZER Details","129.00 USD","taupe brown"
"1575163991-6876","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRIPED WAISTCOAT","https://www.zara.com/us/en/striped-waistcoat-p02880304.html","STRIPED WAISTCOAT Details","69.90 USD","Navy blue"
"1575163934-6850","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","4 WAYS CHECKERED VEST","https://www.zara.com/us/en/4-ways-checkered-vest-p00706345.html","4 WAYS CHECKERED VEST Details","49.90 USD","Black / White"
"1575164067-6910","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PIQUÉ BLAZER","https://www.zara.com/us/en/piqu%C3%A9-blazer-p00706504.html","PIQUÉ BLAZER Details","89.90 USD","Navy blue"
"1575163942-6854","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","STRETCH SUIT JACKET WITH SHEEN","https://www.zara.com/us/en/stretch-suit-jacket-with-sheen-p01564300.html","STRETCH SUIT JACKET WITH SHEEN Details","null","Gray"
"1575164012-6886","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WEAVE ARMY JACKET WITH BAND","https://www.zara.com/us/en/textured-weave-army-jacket-with-band-p05633710.html","TEXTURED WEAVE ARMY JACKET WITH BAND Details","149.00 USD","Black"
"1575163930-6848","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID VEST","https://www.zara.com/us/en/plaid-vest-p00706397.html","PLAID VEST Details","69.90 USD","Sand / Blue"
"1575164030-6894","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WEAVE JACKET","https://www.zara.com/us/en/textured-weave-jacket-p09935350.html","TEXTURED WEAVE JACKET Details","119.00 USD","Navy blue"
"1575164130-6939","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","WIDE LAPEL BLAZER","https://www.zara.com/us/en/wide-lapel-blazer-p06429380.html","WIDE LAPEL BLAZER Details","149.00 USD","Beige"
"1575164019-6889","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","DOUBLE BREASTED TUXEDO BLAZER","https://www.zara.com/us/en/double-breasted-tuxedo-blazer-p05693655.html","DOUBLE BREASTED TUXEDO BLAZER Details","199.00 USD","Black"
"1575164006-6883","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","BIRDSEYE WAISTCOAT","https://www.zara.com/us/en/birdseye-waistcoat-p01564322.html","BIRDSEYE WAISTCOAT Details","69.90 USD","Navy blue"
"1575163944-6855","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","TEXTURED WEAVE VEST WITH BUTTONS","https://www.zara.com/us/en/textured-weave-vest-with-buttons-p05636645.html","TEXTURED WEAVE VEST WITH BUTTONS Details","69.90 USD","Camel"
"1575163955-6860","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID TEXTURED SUIT JACKET","https://www.zara.com/us/en/plaid-textured-suit-jacket-p05577614.html","PLAID TEXTURED SUIT JACKET Details","149.00 USD","Black / White"
"1575164014-6887","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","INVERTED LAPEL SUIT JACKET","https://www.zara.com/us/en/inverted-lapel-suit-jacket-p05815724.html","INVERTED LAPEL SUIT JACKET Details","119.00 USD","Black"
"1575164096-6923","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT PANTS","https://www.zara.com/us/en/plaid-suit-pants-p01564391.html","PLAID SUIT PANTS Details","69.90 USD","Blue"
"1575163982-6872","https://www.zara.com/us/en/man-blazers-l608.html?v1=1282795","PLAID SUIT JACKET","https://www.zara.com/us/en/plaid-suit-jacket-p00706274.html","PLAID SUIT JACKET Details","149.00 USD","Brown"
