crop,year,system_type,,avg_loss
Pulses,1967,Emerging and Diversifying,,2.945
Pulses,1967,Industrialized and Consolidated,,2.046
Pulses,1967,Informal and Expanding,,5.332
Pulses,1967,Modernizing and Formalizing,,3.311
Pulses,1967,Rural and Traditional,,6.993
Pulses,1977,Emerging and Diversifying,,3.052
Pulses,1977,Industrialized and Consolidated,,3.863
Pulses,1977,Informal and Expanding,,4.708
Pulses,1977,Modernizing and Formalizing,,4.363
Pulses,1977,Rural and Traditional,,7.139
Pulses,1987,Emerging and Diversifying,,3.036
Pulses,1987,Industrialized and Consolidated,,3.713
Pulses,1987,Informal and Expanding,,5.596
Pulses,1987,Modernizing and Formalizing,,3.816
Pulses,1987,Rural and Traditional,,7.282
Pulses,1997,Emerging and Diversifying,,3.292
Pulses,1997,Industrialized and Consolidated,,3.625
Pulses,1997,Informal and Expanding,,5.141
Pulses,1997,Modernizing and Formalizing,,4.177
Pulses,1997,Rural and Traditional,,6.362
Pulses,2007,Emerging and Diversifying,,2.914
Pulses,2007,Industrialized and Consolidated,,2.793
Pulses,2007,Informal and Expanding,,5.437
Pulses,2007,Modernizing and Formalizing,,3.446
Pulses,2007,Rural and Traditional,,6.286
Pulses,2017,Emerging and Diversifying,,2.593
Pulses,2017,Industrialized and Consolidated,,5.167
Pulses,2017,Informal and Expanding,,5.666
Pulses,2017,Modernizing and Formalizing,,6.214
Pulses,2017,Rural and Traditional,,6.323
