web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
"1575148372-4877","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","null","","","",""
"1575148880-5121","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","EMBROIDERED DRESS","https://www.zara.com/us/en/embroidered-dress-p05107301.html","EMBROIDERED DRESS Details","69.90 USD","Blue / Lavender"
"1575151458-5517","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINTED MIDI DRESS","https://www.zara.com/us/en/printed-midi-dress-p07563268.html","PRINTED MIDI DRESS Details","69.90 USD","Red"
"1575149196-5273","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RIBBED TUBE DRESS","https://www.zara.com/us/en/ribbed-tube-dress-p03471113.html","RIBBED TUBE DRESS Details","49.90 USD","Green"
"1575148459-4921","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","BELTED DRESS","https://www.zara.com/us/en/belted-dress-p07979202.html","BELTED DRESS Details","49.90 USD","Camel"
"1575152298-5554","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","METALLIC EFFECT SHIRT DRESS","https://www.zara.com/us/en/metallic-effect-shirt-dress-p02157271.html","METALLIC EFFECT SHIRT DRESS Details","69.90 USD","Pink"
"1575152522-5560","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT PLEATED DRESS","https://www.zara.com/us/en/floral-print-pleated-dress-p07521308.html","FLORAL PRINT PLEATED DRESS Details","69.90 USD","only one"
"1575149340-5342","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ELASTICIZED DRESS","https://www.zara.com/us/en/elasticized-dress-p05039939.html","ELASTICIZED DRESS Details","39.90 USD","Black"
"1575148988-5173","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUSTIC POCKET JUMPSUIT","https://www.zara.com/us/en/rustic-pocket-jumpsuit-p05580702.html","RUSTIC POCKET JUMPSUIT Details","39.90 USD","Beige marl"
"1575153745-5705","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","COLORBLOCK SEQUIN DRESS","https://www.zara.com/us/en/colorblock-sequin-dress-p06206104.html","COLORBLOCK SEQUIN DRESS Details","149.00 USD","Green"
"1575149259-5303","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH METALLIC THREAD","https://www.zara.com/us/en/dress-with-metallic-thread-p03859114.html","DRESS WITH METALLIC THREAD Details","119.00 USD","Pink / Lilac"
"1575153726-5696","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PLEATED DRESS","https://www.zara.com/us/en/pleated-dress-p00219910.html","PLEATED DRESS Details","39.90 USD","Black / White"
"1575153732-5699","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","MINI DRESS WITH BOW","https://www.zara.com/us/en/mini-dress-with-bow-p08825829.html","MINI DRESS WITH BOW Details","69.90 USD","Black"
"1575148996-5177","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","MIXED JUMPSUIT WITH LACE","https://www.zara.com/us/en/mixed-jumpsuit-with-lace-p00387166.html","MIXED JUMPSUIT WITH LACE Details","49.90 USD","Black"
"1575154884-5764","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINTED MINI DRESS","https://www.zara.com/us/en/printed-mini-dress-p08561105.html","PRINTED MINI DRESS Details","69.90 USD","Leopard / taupe brown"
"1575149184-5267","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","RUSTIC DRESS","https://www.zara.com/us/en/rustic-dress-p06929221.html","RUSTIC DRESS Details","49.90 USD","Ecru"
"1575149017-5187","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ASYMMETRICAL SLIP DRESS","https://www.zara.com/us/en/asymmetrical-slip-dress-p06873104.html","ASYMMETRICAL SLIP DRESS Details","49.90 USD","Red"
"1575148372-4816","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","null","","","",""
"1575148673-5023","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","BELTED SHIRT DRESS","https://www.zara.com/us/en/belted-shirt-dress-p00387223.html","BELTED SHIRT DRESS Details","69.90 USD","Sky blue"
"1575154992-5816","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PUFFY SLEEVED DRESS","https://www.zara.com/us/en/puffy-sleeved-dress-p08494149.html","PUFFY SLEEVED DRESS Details","49.90 USD","Black"
"1575149233-5291","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","THE MINIMAL EDIT","https://www.zara.com/us/en/the-minimal-edit-pT2488123303.html","THE MINIMAL EDIT","199.00 USD","null"
"1575148899-5130","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","DRESS WITH DARTS","https://www.zara.com/us/en/dress-with-darts-p00264930.html","DRESS WITH DARTS Details","35.90 USD","Brick"
"1575153582-5626","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","SEMI-SHEER SHIRTDRESS","https://www.zara.com/us/en/semi-sheer-shirtdress-p02731267.html","SEMI-SHEER SHIRTDRESS Details","69.90 USD","Black"
"1575149416-5378","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","KNOTTED SHIRT DRESS","https://www.zara.com/us/en/knotted-shirt-dress-p08514162.html","KNOTTED SHIRT DRESS Details","49.90 USD","Light khaki"
"1575154950-5796","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","SEQUIN DRESS","https://www.zara.com/us/en/sequin-dress-p02488144.html","SEQUIN DRESS Details","149.00 USD","Black"
"1575148661-5017","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","KNOTTED RUSTIC DRESS","https://www.zara.com/us/en/knotted-rustic-dress-p01112152.html","KNOTTED RUSTIC DRESS Details","69.90 USD","White"
"1575154841-5743","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","PRINTED SHIRT DRESS","https://www.zara.com/us/en/printed-shirt-dress-p04437265.html","PRINTED SHIRT DRESS Details","69.90 USD","Green"
"1575148774-5070","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","FLORAL PRINT DRESS","https://www.zara.com/us/en/floral-print-dress-p02587154.html","FLORAL PRINT DRESS Details","49.90 USD","Black"
"1575148903-5132","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","ANIMAL PRINT DRESS","https://www.zara.com/us/en/animal-print-dress-p08189200.html","ANIMAL PRINT DRESS Details","69.90 USD","Multicolored"
"1575148803-5084","https://www.zara.com/us/en/woman-dresses-l1066.html?v1=1281625","MIDI DRESS WITH SEAM DETAILS.","https://www.zara.com/us/en/midi-dress-with-seam-details--p06050802.html","MIDI DRESS WITH SEAM DETAILS. Details","39.90 USD","Russet"
