"COLLECTION_NAME","COUPLE_ID","COUPLE_SEQUENCE","RELATED","SEX","AGE","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","INCTOT","INCWAGE"
"ms_children_2018",59,"c1",201,2,42,1,100,0,0,534,53400,0,0
"ms_children_2018",59,"c2",101,1,49,8,818,0,0,534,53400,52000,52000
"ms_children_2018",59,"ch1",301,1,25,1,100,0,0,534,53400,1000,1000
"ms_children_2018",5522,"c1",201,1,79,1,100,0,0,40,4000,50400,0
"ms_children_2018",5522,"c2",101,2,73,1,100,0,0,41,4100,38400,0
"ms_children_2018",674,"c1",201,2,62,1,100,0,0,28,2800,1300,0
"ms_children_2018",674,"c2",101,1,62,1,100,0,0,28,2800,48000,32000
"ms_children_2018",4668,"c1",201,2,58,1,100,0,0,28,2800,0,0
"ms_children_2018",4668,"c2",101,1,67,1,100,0,0,28,2800,336000,335000
"ms_children_2018",5944,"c1",201,1,71,2,200,0,0,28,2800,28500,12000
"ms_children_2018",5944,"c2",101,2,69,2,200,0,0,28,2800,19000,0
"ms_children_2018",5944,"ch1",301,2,56,2,200,0,0,28,2800,15000,15000
"ms_children_2018",3614,"c1",201,2,64,1,100,0,0,47,4700,44100,44100
"ms_children_2018",3614,"c2",101,1,66,1,100,0,0,47,4700,38400,0
"ms_children_2018",4384,"c1",201,1,34,2,200,0,0,28,2800,33000,33000
"ms_children_2018",4384,"c2",101,2,30,2,200,0,0,28,2800,43000,43000
"ms_children_2018",4384,"ch1",301,1,9,2,200,0,0,28,2800,9999999,999999
"ms_children_2018",4384,"ch2",301,2,6,2,200,0,0,28,2800,9999999,999999
"ms_children_2018",4778,"c1",201,1,78,1,100,0,0,28,2800,11500,0
"ms_children_2018",4778,"c2",101,2,70,1,100,0,0,28,2800,16800,0
"ms_children_2018",3301,"c1",201,1,40,1,100,0,0,28,2800,83000,62000
"ms_children_2018",3301,"c2",101,2,39,1,100,0,0,28,2800,22000,22000
"ms_children_2018",3301,"ch1",301,2,15,1,100,0,0,28,2800,0,999999
"ms_children_2018",3301,"ch2",301,1,11,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3301,"ch3",301,2,7,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",3803,"c1",1001,2,30,2,200,0,0,28,2800,0,0
"ms_children_2018",3803,"c2",101,2,57,2,200,0,0,28,2800,2900,2900
"ms_children_2018",3833,"c1",201,2,49,2,200,0,0,28,2800,50000,50000
"ms_children_2018",3833,"c2",101,1,52,2,200,0,0,28,2800,30000,30000
"ms_children_2018",2055,"c1",201,1,34,1,100,0,0,28,2800,46000,46000
"ms_children_2018",2055,"c2",101,2,35,1,100,0,0,28,2800,0,0
"ms_children_2018",2055,"ch1",301,1,11,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2055,"ch2",301,1,8,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",2055,"ch3",301,1,4,1,100,0,0,28,2800,9999999,999999
"ms_children_2018",5703,"c1",201,1,42,2,200,0,0,28,2800,17500,17500
"ms_children_2018",5703,"c2",101,2,37,2,200,0,0,28,2800,15000,15000
"ms_children_2018",5703,"ch1",301,1,12,2,200,0,0,28,2800,9999999,999999
"ms_children_2018",5703,"ch2",301,1,11,2,200,4,498,28,2800,9999999,999999
"ms_children_2018",3197,"c1",201,1,71,1,100,0,0,28,2800,153000,72000
"ms_children_2018",3197,"c2",101,2,71,1,100,0,0,28,2800,67000,53000
"ms_children_2018",5134,"c1",201,2,68,1,100,0,0,22,2200,4800,0
"ms_children_2018",5134,"c2",101,1,69,1,100,0,0,22,2200,21200,0
"ms_children_2018",5134,"ch1",301,2,25,1,100,0,0,28,2800,2200,0
"ms_children_2018",2467,"c1",201,2,46,1,100,0,0,22,2200,0,0
"ms_children_2018",2467,"c2",101,1,46,1,100,0,0,22,2200,60000,0
