actor,show,year,top_cast,episodes
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Stacey Wilson,1
Patricia Arquette,The Late Late Show with James Corden,2015,Justin Bieber,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Maggie Gyllenhaal,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Regina King,1
Patricia Arquette,The Late Late Show with James Corden,2015,Arnold Schwarzenegger,1
Patricia Arquette,The Late Late Show with James Corden,2015,Joel McHale,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,David Mandel,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Kenya Barris,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Stephen Galloway,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Nina Jacobson,1
Patricia Arquette,The Late Late Show with James Corden,2015,Allison Janney,1
Patricia Arquette,The Late Late Show with James Corden,2015,Kristen Stewart,1
Patricia Arquette,The Late Late Show with James Corden,2015,Reggie Watts,1
Patricia Arquette,The Late Late Show with James Corden,2015,Simon Cowell,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Niecy Nash,1
Patricia Arquette,The Late Late Show with James Corden,2015,James Corden,1
Patricia Arquette,Close Up with The Hollywood Reporter,2015,Lacey Rose,1
Patricia Arquette,The Late Late Show with James Corden,2015,Katie Couric,1
Patricia Arquette,The Megan Mullally Show,2006,Tim Daly,1
Patricia Arquette,The Megan Mullally Show,2006,George Lopez,1
Patricia Arquette,The Megan Mullally Show,2006,Debra Messing,1
Patricia Arquette,The Megan Mullally Show,2006,Benji Schwimmer,1
Patricia Arquette,The Megan Mullally Show,2006,Rob Morrow,1
Patricia Arquette,The Megan Mullally Show,2006,Megan Mullally,1
Patricia Arquette,The Megan Mullally Show,2006,Taylor Hicks,1
Patricia Arquette,The Megan Mullally Show,2006,Clay Aiken,1
Patricia Arquette,The Megan Mullally Show,2006,Josh Duhamel,1
Patricia Arquette,Richard & Judy,2001,Rufus Hound,1
Patricia Arquette,Good Day Live,2001,Kathie Lee Gifford,1
Patricia Arquette,Good Day Live,2001,Sandra Lee,1
Patricia Arquette,Richard & Judy,2001,Judy Finnigan,1
Patricia Arquette,Good Day Live,2001,Daisy Fuentes,1
Patricia Arquette,Richard & Judy,2001,Janet Street-Porter,1
Patricia Arquette,Good Day Live,2001,Arthel Neville,1
Patricia Arquette,Good Day Live,2001,Henry Winkler,1
Patricia Arquette,Good Day Live,2001,Steve Edwards,1
Patricia Arquette,Richard & Judy,2001,Sarah Cawood,1
Patricia Arquette,Good Day Live,2001,Leonard Maltin,1
Patricia Arquette,Richard & Judy,2001,Myleene Klass,1
Patricia Arquette,Good Day Live,2001,Debbie Matenopoulos,1
Patricia Arquette,Richard & Judy,2001,Jean-Christophe Novelli,1
Patricia Arquette,Richard & Judy,2001,Adam Buxton,1
Patricia Arquette,Richard & Judy,2001,Richard Madeley,1
Patricia Arquette,Richard & Judy,2001,Amanda Holden,1
