actor,show,year,top_cast,episodes
Regina King,227,1985,Barry Sobel,116
Regina King,227,1985,Countess Vaughn,116
Regina King,227,1985,Helen Martin,116
Regina King,227,1985,Curtis Baldwin,116
Regina King,227,1985,Hal Williams,116
Regina King,227,1985,Alaina Reed Hall,116
Regina King,227,1985,Jackթe Harry,116
Regina King,227,1985,Marla Gibbs,116
Regina King,227,1985,Regina King,116
Richard E. Grant,90 Days in Hollywood,2004,Richard E. Grant,13
Naomie Harris,Accused,2010,John Bishop,10
Naomie Harris,Accused,2010,Naomie Harris,10
Naomie Harris,Accused,2010,Andy Serkis,10
Naomie Harris,Accused,2010,Sean Bean,10
Naomie Harris,Accused,2010,Olivia Colman,10
Naomie Harris,Accused,2010,Robert Sheehan,10
Naomie Harris,Accused,2010,Christopher Eccleston,10
Naomie Harris,Accused,2010,Anne-Marie Duff,10
Naomie Harris,Accused,2010,Anna Maxwell Martin,10
Olivia Colman,Accused,2010,Andy Serkis,10
Olivia Colman,Accused,2010,John Bishop,10
Olivia Colman,Accused,2010,Naomie Harris,10
Olivia Colman,Accused,2010,Anna Maxwell Martin,10
Olivia Colman,Accused,2010,Olivia Colman,10
Olivia Colman,Accused,2010,Christopher Eccleston,10
Olivia Colman,Accused,2010,Sean Bean,10
Olivia Colman,Accused,2010,Anne-Marie Duff,10
Olivia Colman,Accused,2010,Robert Sheehan,10
Lesley Manville,Ain't Misbehavin',1994,Nicola Pagett,12
Lesley Manville,Ain't Misbehavin',1994,Peter Davison,12
Lesley Manville,Ain't Misbehavin',1994,Karen Drury,12
Lesley Manville,Ain't Misbehavin',1994,Paul Brooke,12
Lesley Manville,Ain't Misbehavin',1994,Ian McNeice,12
Lesley Manville,Ain't Misbehavin',1994,John Duttine,12
Lesley Manville,Ain't Misbehavin',1994,Lesley Manville,12
Regina King,American Crime,2015,Timothy Hutton,11
Regina King,American Crime,2015,Penelope Ann Miller,11
Regina King,American Crime,2015,Felicity Huffman,11
Regina King,American Crime,2015,W. Earl Brown,11
Regina King,American Crime,2015,Elvis Nolasco,11
Regina King,American Crime,2015,Caitlin Gerard,11
Regina King,American Crime,2015,Benito Martinez,11
Regina King,American Crime,2015,Richard Cabral,11
Regina King,American Crime,2015,Johnny Ortiz,11
Lady Gaga,American Horror Story,2011,Evan Peters,12
Lady Gaga,American Horror Story,2011,Jessica Lange,12
Lady Gaga,American Horror Story,2011,Cheyenne Jackson,12
Lady Gaga,American Horror Story,2011,read the rest.,12
Lady Gaga,American Horror Story,2011,Lily Rabe,12
Lady Gaga,American Horror Story,2011,Emma Roberts,12
Lady Gaga,American Horror Story,2011,Frances Conroy,12
Lady Gaga,American Horror Story,2011,Kathy Bates,12
Lady Gaga,American Horror Story,2011,Denis O'Hare,12
Lady Gaga,American Horror Story,2011,Sarah Paulson,12
Jennifer Jason Leigh,Atypical,2017,Casey Wilson,28
Jennifer Jason Leigh,Atypical,2017,Keir Gilchrist,28
Jennifer Jason Leigh,Atypical,2017,Nik Dodani,28
Jennifer Jason Leigh,Atypical,2017,Michael Rapaport,28
Jennifer Jason Leigh,Atypical,2017,Jennifer Jason Leigh,28
Jennifer Jason Leigh,Atypical,2017,Amy Okuda,28
Jennifer Jason Leigh,Atypical,2017,Brigette Lundy-Paine,28
Jennifer Jason Leigh,Atypical,2017,Jenna Boyd,28
Jennifer Jason Leigh,Atypical,2017,Graham Rogers,28
Olivia Colman,Beautiful People,2008,Frances Barber,12
