ニ_ニ__ニ_ニ__ニ_ニ__web-scraper-order,web-scraper-start-url,product,product-href,productname,noteslink,noteslink-href,top,heart,base
1574012051-22701,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/accord-oud-eau-de-parfum-50ml,Accord Oud,Notes,https://www.byredo.com/us_en/accord-oud-eau-de-parfum-50ml#product.info.raw.notes,"Blackberry,Rum,Saffron","Clary Sage,Leather Accord","Patchouli,Musk"
1574012062-22703,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/bal-dafrique-eau-de-parfum-50ml,Bal d'Afrique,Notes,https://www.byredo.com/us_en/bal-dafrique-eau-de-parfum-50ml#product.info.raw.notes,"African Marigold,Bergamot,Buchu,Lemon,Neroli","Cyclamen,Jasmine,Violet","Black Amber,Cedarwood,Musk,Vetiver"
1574012152-22718,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/rose-of-no-mans-land-eau-de-parfum-50ml,Rose Of No Man's Land,Notes,https://www.byredo.com/us_en/rose-of-no-mans-land-eau-de-parfum-50ml#product.info.raw.notes,"Pink Pepper,Rose Petals",Raspberry Blossom,"Papyrus,White Amber"
1574012157-22719,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/seven-veils-eau-de-parfum-50ml,Seven Veils,Notes,https://www.byredo.com/us_en/seven-veils-eau-de-parfum-50ml#product.info.raw.notes,"Carrot,Allspice","Glycine,Rose","Sandalwood,Vanilla"
1574012027-22697,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/rodeo-eau-de-parfum-100ml,Rodeo,Notes,https://www.byredo.com/us_en/rodeo-eau-de-parfum-100ml#product.info.raw.notes,Leather Accord,"Violet,Suede","Black Amber,Vetiver"
1574012121-22713,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/mojaveghost-eau-de-parfum-50ml,Mojave Ghost,Notes,https://www.byredo.com/us_en/mojaveghost-eau-de-parfum-50ml#product.info.raw.notes,Ambrette,"Magnolia,Sandalwood,Violet","Cedarwood,Musk,Amber"
1574012128-22714,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/oud-immortel-eau-de-parfum-50ml,Oud Immortel,Notes,https://www.byredo.com/us_en/oud-immortel-eau-de-parfum-50ml#product.info.raw.notes,"Cardamom,Incense","Brazilian Rosewood,Papyrus,Patchouli","Moss,Tobacco Leaves"
1574012175-22722,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/velvet-haze-eau-de-parfum-50ml,Velvet Haze,Notes,https://www.byredo.com/us_en/velvet-haze-eau-de-parfum-50ml#product.info.raw.notes,"Ambrette,Coconut Water",Patchouli,"Musk,Cocoa Absolu"
1574012134-22715,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/palermo-eau-de-parfum-50ml,Palermo,Notes,https://www.byredo.com/us_en/palermo-eau-de-parfum-50ml#product.info.raw.notes,"Bigarade,Bergamot","Musk,Rose","Ambrette Flower,Musk"
1574012078-22706,https://www.byredo.com/us_en/perfume/personal-fragrances/perfumes/?product_list_order=price,,https://www.byredo.com/us_en/blanche-eau-de-parfum-50ml,Blanche,Notes,https://www.byredo.com/us_en/blanche-eau-de-parfum-50ml#product.info.raw.notes,"Aldehyde,Pink Pepper,White Rose","Neroli,Peony,Violet","Cashmeran,Musk,Sandalwood"
