word,value,category,sub_category,,theme_total,,theme_1
children,40,impact,children,,40,,children
diabetes,98,impact,disease,,,,health
disease,75,impact,disease,,,,health
heart,41,impact,disease,,,,health
patients,39,impact,disease,,,,health
risk,35,impact,disease,,,,health
diseases,29,impact,disease,,,,health
blood,27,impact,disease,,,,health
liver,26,impact,disease,,370,,health
weight,252,impact,obesity,,,,obesity
body,84,impact,obesity,,,,obesity
fat,82,impact,obesity,,,,obesity
obese,73,impact,obesity,,,,obesity
overweight,48,impact,obesity,,539,,obesity
epidemic,44,impact,problems,,,,health
problem,29,impact,problems,,,,
problems,26,impact,problems,1048,99,209.6,
school,44,response,education,,,,children
learn,32,response,education,,76,,
healthy,51,response,lifestyle,,,,health
yoga,58,response,lifestyle,,,,lifestyle
exercise,55,response,lifestyle,,,,lifestyle
nutrition,30,response,lifestyle,,,,lifestyle
fitness,24,response,lifestyle,,,,lifestyle
lifestyle,24,response,lifestyle,,242,,lifestyle
medicine,71,response,medicine,,,,health
treatment,48,response,medicine,,,,health
doctor,38,response,medicine,,,,health
doctors,27,response,medicine,,,,health
clinic,24,response,medicine,,208,,health
science,38,response,science,,,,health
information,68,response,science,632,106,126.4,
states,37,cause,america,,,,america
america,34,cause,america,,,,america
united,33,cause,america,,,,america
american,31,cause,america,,135,,america
food,229,cause,food,,,,lifestyle
diet,115,cause,food,,,,lifestyle
eat,37,cause,food,,,,lifestyle
eating,36,cause,food,,,,lifestyle
rice,27,cause,food,,,,lifestyle
foods,24,cause,food,603,468,120.6,lifestyle
