word,value,category_totals,category,sub-category,,,,theme_1
children,78,,impact,children,,,,america
kids,31,,impact,children,,,,america
childhood,28,,impact,children,,,,america
young,28,,impact,children,165,8,,america
diabetes,112,,impact,disease,,,,america
disease,68,,impact,disease,,,,children
blood,61,,impact,disease,,,,children
heart,56,,impact,disease,,,,children
risk,38,,impact,disease,,,,children
cancer,36,,impact,disease,,,,health
diseases,34,,impact,disease,,,,health
pain,29,,impact,disease,,,,health
patients,28,,impact,disease,,,,health
death,27,,impact,disease,489,24,,health
obese,298,,impact,obesity,,,,health
weight,230,,impact,obesity,,,,health
overweight,121,,impact,obesity,,,,health
bmi,110,,impact,obesity,,,,health
body,99,,impact,obesity,,,,health
fat,75,,impact,obesity,,,,children
fattest,46,,impact,obesity,,,,children
pounds,28,,impact,obesity,1007,50,,lifestyle
epidemic,88,,impact,problem,,,,lifestyle
problem,75,,impact,problem,,,,lifestyle
problems,40,1864,impact,problem,203,10,,lifestyle
school,44,,intervention,education,,,,lifestyle
education,31,,intervention,education,75,3/4,,health
healthy,71,,intervention,lifestyle,,,,lifestyle
detox,81,,intervention,lifestyle,,,,lifestyle
water,68,,intervention,lifestyle,,,,lifestyle
lifestyle,51,,intervention,lifestyle,,,,lifestyle
exercise,40,,intervention,lifestyle,,,,lifestyle
wellness,31,,intervention,lifestyle,,,,lifestyle
nutrition,28,,intervention,lifestyle,370,18/19,,health
medicine,45,,intervention,medicine,,,,health
hospital,41,,intervention,medicine,,,,health
treatment,38,,intervention,medicine,,,,health
doctors,34,,intervention,medicine,,,,health
surgery,26,,intervention,medicine,184,9/9,,obesity
science,29,,intervention,science,,,,obesity
information,72,,intervention,science,,,,obesity
research,70,800,intervention,science,171,8/9,,obesity
america,73,,source,america,,,,obesity
united,56,,source,america,,,,obesity
states,50,,source,america,,,,obesity
american,46,,source,america,,,,obesity
usa,25,,source,america,250,12/13,,health
food,245,,source,food,,,,
diet,245,,source,food,,,,
foods,55,,source,food,,,,health
eating,47,,source,food,,,,
eat,38,880,source,food,630,31/32,,
care,69,,,,,,,
loss,65,,,,,,,
lose,58,,,,,,,
please,58,,,,,,,
average,57,,,,,,,
rate,51,,,,,,,
jobs,51,,,,,,,
number,49,,,,,,,
percent,46,,,,,,,
rates,45,,,,,,,
quality,38,,,,,,,
higher,33,,,,,,,
highest,32,,,,,,,
need,32,,,,,,,
society,31,,,,,,,
industry,31,,,,,,,
support,30,,,,,,,
study,28,,,,,,,
living,28,,,,,,,
should,28,,,,,,,
mass,28,,,,,,,
increase,28,,,,,,,
data,27,,,,,,,
index,27,,,,,,,
physical,27,,,,,,,
gain,27,,,,,,,
statistics,26,,,,,,,
