word,value,category,sub_category,,theme_total,,,theme_1
children,61,impact,children,,61,,,children
diabetes,106,impact,disease,,,,,health
patients,100,impact,disease,,,,,health
disease,58,impact,disease,,,,,health
diseases,41,impact,disease,,,,,health
risk,40,impact,disease,,,,,health
patient,33,impact,disease,,,,,health
heart,32,impact,disease,,,,,health
death,28,impact,disease,,,,,health
stomach,27,impact,disease,,465,,,health
weight,272,impact,obesity,,,,,obesity
obese,96,impact,obesity,,,,,obesity
overweight,69,impact,obesity,,,,,obesity
body,40,impact,obesity,,,,,obesity
fat,37,impact,obesity,,,,,obesity
pounds,30,impact,obesity,,,,,obesity
skinny,28,impact,obesity,,,,,obesity
fattest,27,impact,obesity,,599,,,obesity
epidemic,51,impact,problems,,,,,health
crisis,24,impact,problems,1229,75,245.8,,
university,49,response,education,,,,,
learn,34,response,education,,83,,,
school,29,response,education,,,,,children
nutrition,53,response,lifestyle,,,,,lifestyle
healthy,45,response,lifestyle,,,,,health
exercise,38,response,lifestyle,,136,,,lifestyle
surgery,285,response,medicine,,,,,health
bariatric,128,response,medicine,,,,,health
gastric,126,response,medicine,,,,,health
medical,124,response,medicine,,,,,health
treatment,62,response,medicine,,,,,health
bypass,56,response,medicine,,,,,health
hospital,42,response,medicine,,,,,health
procedure,36,response,medicine,,,,,health
procedures,33,response,medicine,,,,,health
surgeon,27,response,medicine,,,,,health
medicine,27,response,medicine,,,,,health
surgeries,25,response,medicine,,,,,health
doctors,24,response,medicine,,995,,,health
research,56,response,science,,,,,
information,56,response,science,,,,,
science,41,response,science,1367,153,273.4,,
states,78,cause,america,,,,,america
united,73,cause,america,,,,,america
america,54,cause,america,,,,,america
american,41,cause,america,,246,,,america
food,172,cause,food,,,,,lifestyle
diet,69,cause,food,,,,,lifestyle
eating,36,cause,food,,,,,lifestyle
eat,32,cause,food,,,,,lifestyle
sugar,28,cause,food,,,,,lifestyle
drinks,27,cause,food,,,,,lifestyle
consumption,26,cause,food,,,,,lifestyle
junk,24,cause,food,660,414,132,,lifestyle
