id,xpos,ypos,indexA,indexB,indexC,indexD,indexE
1,1,1,0.6,0.85,0.28,0.8,0.77
2,1,2,1.1,0.09,0.39,0.01,0.93
3,1,3,7.8,0.85,0.55,0.44,0.85
4,1,4,6.5,0.88,0.18,0.89,0.62
5,1,5,1.1,0.55,0.94,0.76,0.79
6,1,6,9.5,0.1,0.94,0.23,0.94
7,1,7,0.1,0.14,0.46,0.61,0.41
8,1,8,8.7,0.92,0.78,0.74,0.81
9,1,9,1,1,0.33,0.68,0.56
10,1,10,0.4,0.78,0.97,0.31,0.05
11,2,1,5.4,0.99,0.5,0.49,0.66
12,2,2,4.9,0.16,0.23,0.39,0.21
13,2,3,5.9,0.12,0.37,0.11,0.9
14,2,4,4.5,0.98,0.4,0.79,0.33
15,2,5,4.9,0.03,0.7,0.28,0.01
16,2,6,8.7,0.44,0.14,0.04,0.89
17,2,7,3.2,0.28,0.39,0.1,0.44
18,2,8,1.9,0.94,0.41,0.75,0.99
19,2,9,4.1,0.94,0.79,0.77,0.09
20,2,10,2.2,0.32,0.56,0.44,0.17
21,3,1,4.6,0.12,0.64,0.97,0.33
22,3,2,2.7,0.38,0.68,0.45,0.04
23,3,3,0.9,0.91,0.28,0.13,0.96
24,3,4,2.3,0.84,0.19,0.9,0.08
25,3,5,5,0.68,0.87,0.94,0.21
26,3,6,0.6,0.68,0.19,0.95,0.91
27,3,7,6.7,0.88,0.56,0.74,0.07
28,3,8,1.9,0.62,0.48,0.83,0.28
29,3,9,1.6,0.29,0.63,0.19,0.8
30,3,10,8.9,0.1,0.87,0.44,0.56
31,4,1,3.1,0.67,0.44,0.6,0.07
32,4,2,8.9,0.69,0.6,0.86,0.55
33,4,3,4.5,0.77,0.12,0.55,0.47
34,4,4,4,0.03,0.96,1,0.71
35,4,5,5.4,0.57,0.71,0.06,0.45
36,4,6,2.2,0.8,0.69,0.49,0.54
37,4,7,6.6,0.16,0.28,0.63,0.94
38,4,8,4.8,0.3,0.15,0.99,0.94
39,4,9,7.8,0.37,0.33,0.59,0.97
40,4,10,4.8,0.14,0.55,0.23,0.6
41,5,1,6.3,0.23,0.73,0.65,0.63
42,5,2,8.2,0.76,0.16,0.85,0.19
43,5,3,6.7,0.1,0.76,0.79,0.2
44,5,4,1,0.64,0.72,0.32,0.44
45,5,5,8.9,0.85,0.85,0.86,0.18
46,5,6,7.5,0.65,0.46,0.57,0.22
47,5,7,8.3,0.74,0.81,0.47,0.76
48,5,8,8.6,0.92,0.75,0.8,0.9
49,5,9,9.4,0.92,0.04,0.4,0.69
50,5,10,2.8,1,0.35,0.99,0.88
51,6,1,5.2,0.66,0.11,0.68,0.7
52,6,2,9,0.25,0.77,0.82,0.34
53,6,3,8.7,0.81,0.65,0.06,0.08
54,6,4,5,0.48,0.1,0.24,0.54
55,6,5,6.3,0.96,0.85,0.33,0.52
56,6,6,3,0.2,0.53,0.11,0.86
57,6,7,9.3,0.5,0.68,0.22,0.68
58,6,8,8.9,0.74,0.73,0.46,0.25
59,6,9,0.7,0.29,0.3,0.89,0.19
60,6,10,6.4,0.24,0.78,0.11,0.15
61,7,1,5.5,0.23,0.6,0.41,0.97
62,7,2,6.9,0.33,0.59,0.52,0.31
63,7,3,4.5,0.33,0.58,0.96,0.32
64,7,4,6.6,0.17,0.16,0.53,0.08
65,7,5,3.8,1,0.04,0.97,0.03
66,7,6,2.9,0.21,0.57,0.72,0.42
67,7,7,1.5,0.67,0.09,0.43,0.21
68,7,8,2.5,0.22,0.74,0.9,0.53
69,7,9,8,0.98,0.2,0.92,0.46
70,7,10,1.9,0.75,1,0.1,0.95
71,8,1,6.8,0.7,0.66,0.93,0.21
72,8,2,8.6,0.42,0.2,0.45,0.84
73,8,3,0.7,0.04,0.99,0.14,0.4
74,8,4,6.4,0.56,0.72,0.93,0.55
75,8,5,5.1,0.57,0.36,0.08,0.36
76,8,6,8.1,0.37,0.58,0.53,0.29
77,8,7,0.6,0.47,0.86,0.41,0.19
78,8,8,6.6,0.35,0.51,0.44,0.32
79,8,9,6,0.52,0.3,0.83,0.24
80,8,10,4.3,0.4,0.93,0.13,0.56
81,9,1,0.5,0.44,0.29,0.52,0.63
82,9,2,0.5,0.55,0.19,0.56,0.46
83,9,3,4,0.49,0.19,0.68,0.1
84,9,4,3.7,0.02,0.38,0.09,0.82
85,9,5,6,0.85,0.59,0.27,0.02
86,9,6,1.2,0.33,0.16,0.91,0.75
87,9,7,8.7,0.01,0.22,0.39,0.57
88,9,8,1.6,0.7,0.89,0.09,0.14
89,9,9,9.5,0.4,0.48,0.28,0.85
90,9,10,7.6,0.09,0.69,0.48,0.25
91,10,1,1.4,0.43,0.55,0.95,0.16
92,10,2,1.6,0.45,0.42,0.29,0.51
93,10,3,5.5,0.29,0.53,0.99,0.4
94,10,4,1.9,0.05,0.66,0.19,0.26
95,10,5,5.5,0.9,0.43,0.16,0.28
96,10,6,8.4,0.74,0.14,0.99,0.42
97,10,7,9.6,0.62,0.11,0.51,1
98,10,8,7.2,0.8,0.53,0.92,1
99,10,9,1.2,0.03,0.64,0.33,0.75
100,10,10,6.5,0.37,0.53,0.62,0.64
