date,Brand,Sub_Category,Description,group
10/5/20,Agnes B,tee,Signature graphic,Knit Tops
10/5/20,Madewell,jeans,Straight-leg,Jeans
10/6/20,Flat File,tee,Matisse graphic,Knit Tops
10/6/20,Madewell,jeans,Wide-leg button-fly,Jeans
10/7/20,Madewell,jeans,Skinny,Jeans
10/7/20,Madewell,shirt,Check flannel,Woven Tops
10/7/20,Madewell,jacket,Houndstooth sweater,Jackets
10/8/20,Agolde,jeans,Wide-leg,Jeans
10/8/20,Aritzia,tee,Long-sleeved raglan,Knit Tops
10/8/20,J. Crew,jacket,Denim,Jackets
10/8/20,,shawl,Houndstooth blanket,Jackets
10/9/20,Madewell,jeans,Straight-leg,Jeans
10/9/20,,shirt,Striped,Woven Tops
10/9/20,,shawl,Houndstooth blanket,Jackets
10/10/20,Madewell,jeans,Wide-leg button-fly,Jeans
10/10/20,Topshop,tee,Matelasse mock-neck,Knit Tops
10/10/20,Closed,jacket,Leather motorcycle,Jackets
10/11/20,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
10/12/20,Madewell,jeans,High-waisted wide-leg,Jeans
10/12/20,Leset,top,Long-sleeved wrap,Knit Tops
10/12/20,,shawl,Houndstooth blanket,Jackets
10/13/20,Madewell,jeans,High-waisted wide-leg,Jeans
10/13/20,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
10/14/20,The Reformation,jeans,Saddle,Jeans
10/14/20,Express,tee,Long-sleeved crew-neck,Knit Tops
10/15/20,Madewell,jeans,Skinny,Jeans
10/15/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
10/16/20,Madewell,jeans,High-waisted wide-leg,Jeans
10/16/20,H & M,tank,Ribbed halter,Knit Tops
10/16/20,Loft,tee,Cardigan,Knit Tops
10/17/20,Madewell,jeans,Straight-leg,Jeans
10/17/20,,shirt,Striped,Woven Tops
10/17/20,Aritzia,coat,Wool plaid,Coats
10/18/20,Madewell,jeans,Wide-leg button-fly,Jeans
10/18/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
10/18/20,J. Crew,jacket,Quilted,Jackets
10/19/20,Agolde,jeans,Wide-leg,Jeans
10/19/20,Sezane,sweater,Drapey color-block,Sweaters & Sweatshirts
10/20/20,The Reformation,jeans,Saddle,Jeans
10/20/20,Leset,top,Long-sleeved wrap,Knit Tops
10/20/20,Madewell,jacket,Houndstooth sweater,Jackets
10/21/20,Anthropologie,pants,Plaid corduroy,Pants
10/21/20,Aritzia,tee,Long-sleeved raglan,Knit Tops
10/21/20,Madewell,jacket,Houndstooth sweater,Jackets
10/22/20,Madewell,jeans,High-waisted wide-leg,Jeans
10/22/20,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
10/23/20,Madewell,jeans,Skinny,Jeans
10/23/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
10/24/20,Madewell,jeans,Wide-leg button-fly,Jeans
10/24/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
10/25/20,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits
10/25/20,,jacket,Yak-wool long,Jackets
10/26/20,The Reformation,jeans,Saddle,Jeans
10/26/20,Uniqlo,sweater,Ribbed turtleneck,Sweaters & Sweatshirts
10/27/20,Madewell,jeans,Straight-leg,Jeans
10/27/20,,jacket,Yak-wool long,Jackets
10/27/20,Madewell,bodysuit,Velvet wrap,Bodysuits
10/28/20,Madewell,jeans,High-waisted wide-leg,Jeans
10/28/20,Leset,top,Long-sleeved wrap,Knit Tops
10/28/20,,shawl,Houndstooth blanket,Jackets
10/29/20,Madewell,jeans,Skinny,Jeans
10/29/20,,shirt,Striped,Woven Tops
10/29/20,Madewell,jacket,Houndstooth sweater,Jackets
10/30/20,The Reformation,jeans,Saddle,Jeans
10/30/20,H & M,tank,Ribbed halter,Knit Tops
10/30/20,Loft,tee,Cardigan,Knit Tops
10/31/20,Madewell,jeans,High-waisted wide-leg,Jeans
10/31/20,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops
10/31/20,Aritzia,coat,Wool plaid,Coats
11/1/20,Madewell,jeans,Wide-leg button-fly,Jeans
11/1/20,Monogram,sweatshirt,Club sandwich graphic,Sweaters & Sweatshirts
11/2/20,Madewell,jeans,Skinny,Jeans
11/2/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
11/3/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/3/20,Madewell,sweatshirt,Cropped quilted,Sweaters & Sweatshirts
11/3/20,Aritzia,coat,Wool plaid,Coats
11/4/20,Madewell,jeans,Straight-leg,Jeans
11/4/20,Flat File,tee,Matisse graphic,Knit Tops
11/4/20,Aritzia,coat,Wool plaid,Coats
11/5/20,The Reformation,jeans,Saddle,Jeans
11/5/20,,shirt,Striped,Woven Tops
11/5/20,Aritzia,coat,Wool plaid,Coats
11/6/20,Madewell,jeans,High-waisted wide-leg,Jeans
11/6/20,Leset,top,Long-sleeved wrap,Knit Tops
11/7/20,Madewell,jeans,Wide-leg button-fly,Jeans
11/7/20,H & M,tank,Ribbed halter,Knit Tops
11/7/20,Loft,tee,Cardigan,Knit Tops
11/8/20,Madewell,jeans,Straight-leg,Jeans
11/8/20,Monogram,tee,Les Fraises graphic,Knit Tops
11/8/20,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts
11/9/20,The Reformation,jeans,Saddle,Jeans
11/9/20,Agnes B,tee,Signature graphic,Knit Tops
