group_y,ypos,Brand,Primary_Color,Secondary_Color,Pattern,Pattern_ID,group_ID,group,Category,Sub_Category,Description,Year_Entered,Era,Gifted,Vintage,Online_Purchase,Traveling_Purchase,Quarantine_Purchase,Era_Date_Start,Era_End_Date,Notes
1,29,Madewell,#b7857e,,N,,1,Bodysuits,Tops,bodysuit,Velvet wrap,2017,"The Orme School, Mayer, AZ",N,N,Y,N,N,"September, 2016","June, 2019",A little dated but I'm hoping pink velvet comes back around
2,34,& Other Stories,#3e4a66,#FFFFFF,Y,42,1,Bodysuits,Tops,bodysuit,Giorgia Lupi,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",The pattern is data-driven; I wore this when I attended Giorgia Lupi's talk last year about data humanism
3,35,,#59412e,#FFFFFF,Y,43,1,Bodysuits,Tops,bodysuit,Sleeveless color-block,2019,"Roslindale, MA",N,Y,N,N,N,"June, 2019","June, 2020",It's actually a deadstock bathing suit!
1,1,The North Face,#000000,,N,,2,Coats,Outwear,coat,Long quilted,2007,"Freshman Year, Middlebury College",Y,N,N,N,N,"September, 2006","May, 2008",Moving to Vermont necessitated a sleeping bag coat
2,2,J. Crew,#d7b898,,N,,2,Coats,Outwear,coat,Trench,2009,"Study Abroad, London",Y,N,N,Y,N,"August, 2009","June, 2010",Now I never need to buy a trench coat again
3,10,Aritzia,#5e383b,#435658,Y,19,2,Coats,Outwear,coat,Wool plaid,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",New fall coat
1,1,Yael Aflalo,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,Silk cocktail,2007,"Freshman Year, Middlebury College",Y,N,Y,N,N,"September, 2006","May, 2008","Purchased for Homecoming, still wear to weddings"
2,2,Mint,#514941,,N,,,Dresses,Dresses & Jumpsuits,dress,Wool bow-back,2008,"Sophomore Year, Middlebury College",Y,N,N,Y,N,"September, 2008","May, 2009",I wore this to an after-hours tour of the Met during my senior year and felt very artsy
3,3,United Colors of Benetton,#423c36,,N,,,Dresses,Dresses & Jumpsuits,dress,Wool shift,2008,"Sophomore Year, Middlebury College",Y,N,N,Y,N,"September, 2008","May, 2009",This is too short and tight now to be work-appropriate but I still love the pockets
4,4,Madewell,#43467c,,N,,,Dresses,Dresses & Jumpsuits,dress,Long-sleeved rib-knit,2011,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014","This one is so old, it's from before Madewell clothes had Madewell labels"
5,5,Bill Blass for Maurice Rentner,#000000,#FFFFFF,Y,6,,Dresses,Dresses & Jumpsuits,dress,Velvet & silk,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This allegedly once belonged to a tiny French model in the 70s
6,6,Cynthia Steffe,#e7cbae,,N,,,Dresses,Dresses & Jumpsuits,dress,Sequined mesh mini,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",Purchased for Steven's wizard party when we were still just friends
7,7,,#6bd3db,#f9b7df,Y,7,,Dresses,Dresses & Jumpsuits,dress,Camp Beverley Hills graphic tube,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014","Got this with Steven on an adventure to a tiny vintage store in the valley. I told the shopowner I wanted ""something scampy"""
8,9,,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,Velvet burnout prom,2014,"Moved in with Steven, Nottingham",N,Y,N,Y,N,"June, 2014","September, 2014",Got this in Berlin! Wore it to the last Orme prom we attended before moving east
9,10,,#5ccccc,#FFFFFF,Y,9,,Dresses,Dresses & Jumpsuits,dress,Floral-print qipao,2014,"Hangzhou, China",Y,N,N,N,N,"September, 2014","July, 2016",First birthday in China
10,12,,#FFFFFF,#f97384,Y,10,,Dresses,Dresses & Jumpsuits,dress,Floral-print skort,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Kyoto has surprisingly good vintage shopping
11,13,,#ffc410,#ec5c18,Y,11,,Dresses,Dresses & Jumpsuits,dress,Floral Knit,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016","Steven convinced me to get this one, it looks like it was made on a home sewing machine"
12,18,,#e51e26,#1c2577,Y,13,,Dresses,Dresses & Jumpsuits,dress,Wool plaid shift,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Wore this for Halloween 2009 when I went as a red bird
13,19,H & M,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,Wrap suiting,2017,"The Orme School, Mayer, AZ",Y,N,N,Y,N,"September, 2016","June, 2019",Maybe one day I'll attend an event that makes sense for this dress
14,20,XOXO,#5f4633,#f2cead,Y,14,,Dresses,Dresses & Jumpsuits,dress,Embroidered shift,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Wore this to the first Orme prom we attended
15,21,,#9eba9e,,N,,,Dresses,Dresses & Jumpsuits,gown,Beaded mesh flapper,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Awesome Palm Springs find; great for weddings with a white bodysuit layered underneath
16,24,& Other Stories,#b8956a,,N,,,Dresses,Dresses & Jumpsuits,dress,Button-front corduroy,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Work dress
17,17,Betsy Johnson,#000000,,N,,,Dresses,Dresses & Jumpsuits,dress,Pinafore,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Channeling 90s layering styles
1,3,Closed,#8e6f55,,N,,3,Jackets,Outwear,jacket,Leather motorcycle,2011,"Senior Year, Middlebury College",Y,N,N,Y,N,10-Sep,"May, 2011",I had a Vespa when I first moved to LA; I'd wear this jacket every day layered over at least one thick sweater and would still freeze my ass off
2,4,Madewell,#b28256,#000000,Y,15,3,Jackets,Outwear,jacket,Houndstooth sweater,2011,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Every fall I live in this
3,5,Betabrand,#b8b9ba,#000000,Y,16,3,Jackets,Outwear,jacket,Disco ball,2013,Los Angeles,Y,N,Y,N,N,"June, 2011","June, 2014",First gift from Steven; it's made from recycled disco balls!
4,6,J. Crew,#6d673d,,N,,3,Jackets,Outwear,jacket,Quilted,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Almost too prepy but so practical
5,7,J. Crew,#93a0a3,,N,,3,Jackets,Outwear,jacket,Denim,2014,"Hangzhou, China",Y,Y,N,Y,N,"September, 2014","July, 2016",To replace a similar one I left on a bus in Aachen
6,8,,#af102c,#814979,Y,17,3,Jackets,Outwear,jacket,Yak-wool long,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016","Purchased in Nepal to commemorate our engagement, not sure if it is real yak"
7,9,,#a90515,#000000,Y,18,3,Jackets,Outwear,shawl,Houndstooth blanket,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Blanket scarf FTW
1,7,Madewell,#70797f,,N,,4,Jeans,Bottoms,jeans,Straight-leg,2016,"The Orme School, Mayer, AZ",Y,N,N,Y,N,"September, 2016","June, 2019",Oldest jeans in circulation
2,8,Madewell,#000000,,N,,4,Jeans,Bottoms,jeans,Skinny,2016,"The Orme School, Mayer, AZ",N,N,Y,N,N,"September, 2016","June, 2019",These are about to tear in a number of places but I can't stop wearing them
3,11,Madewell,#668596,,N,,4,Jeans,Bottoms,jeans,Wide-leg button-fly,2019,"Roslindale, MA",Y,N,N,Y,N,"June, 2019","June, 2020",These are my best-fitting jeans at the moment
4,15,Agolde,#f9f3ed,,N,,4,Jeans,Bottoms,jeans,Wide-leg,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2020",and beyond,Every time I wear these they end up mysteriously stained
5,16,Madewell,#000000,,N,,4,Jeans,Bottoms,jeans,High-waisted wide-leg,2020,"Lawrence, MA",Y,N,Y,N,Y,"June, 2020",and beyond,New jeans! Still breaking them in
6,17,The Reformation,#8f9eb5,,N,,4,Jeans,Bottoms,jeans,Saddle,2020,"Lawrence, MA",Y,N,Y,N,Y,"June, 2020",and beyond,These have a silly no-butt-pocket design that reminds me of middle school in the best way
1,1,Express,#000000,,N,,5,Knit Tops,Tops,tee,Long-sleeved crew-neck,2006,"Winnetka, IL",Y,N,N,N,N,before,"September, 2006",The only item of clothing I still have from high school
2,5,Aritzia,#867e76,,N,,5,Knit Tops,Tops,tee,Long-sleeved raglan,2010,"Senior Year, Middlebury College",Y,N,N,N,N,10-Sep,"May, 2011",One of my last boring gray tees from an era when I wore a lot of boring gray tees
3,8,Topshop,#4e4c68,,N,,5,Knit Tops,Tops,tee,Matelasse mock-neck,2012,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Textures
4,13,Loft,#8e8b88,,N,,5,Knit Tops,Tops,tee,Cardigan,2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Bought this with a gift card that I won in a raffle along with a Fiat 500
5,14,,#eddc77,#f33fa9,Y,27,5,Knit Tops,Tops,tee,Sunglasses graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",So summery
6,15,,#FFFFFF,#ea0502,Y,28,5,Knit Tops,Tops,tee,Running of the Bulls graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This shirt is amazing! It's like part of a theatre costume; splattered in blood with a hole where the bull's horn pierced the original owner
7,16,,#000000,#FFFFFF,Y,29,5,Knit Tops,Tops,tee,EDA graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",I like to wear this one and see if people notice it has a stripped on it
23,50,Leset,#0c443d,,N,,5,Knit Tops,Tops,top,Long-sleeved wrap,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,"Feels like cashmere, but can be washed in a machine"
8,17,Aritzia,#000000,#FFFFFF,Y,30,5,Knit Tops,Tops,vest,Ribbed sweater,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Work top
9,18,,#a5a19f,,N,,5,Knit Tops,Tops,vest,sweater,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This one always makes me think of Clueless; it's probably from the 90s
10,21,,#339966,#e9a413,Y,32,5,Knit Tops,Tops,tee,Cal-Poly graphic ringer,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Portland OR right before we got married
11,22,,#FFFFFF,#b8d8e8,Y,33,5,Knit Tops,Tops,tee,California Raisins ringer,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Portland OR right before we got married
12,23,,#000000,#FFFFFF,Y,34,5,Knit Tops,Tops,vest,Abstract-print sweater,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Claremont CA right after we got married
13,24,Muji,#FFFFFF,#000000,Y,35,5,Knit Tops,Tops,tank,Ribbed striped ,2016,"Hangzhou, China",N,N,N,Y,N,"September, 2014","July, 2016",From our pilgrimage to the Muji flagship store
14,25,,#1b2278,#d02624,Y,36,5,Knit Tops,Tops,vest,Striped sweater,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",To wear with my Marimekko overalls
15,28,Madewell,#FFFFFF,#924b0b,Y,39,5,Knit Tops,Tops,tee,Ribbed striped cap-sleeve,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Still like this one tucked into jeans
16,31,,#aecebe,#1f443e,Y,41,5,Knit Tops,Tops,tank,Ribbed ringer,2018,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019","Last purchase I made before confirming I was pregnant, Spring Break road trip 2018"
17,38,The Reformation,#6d7d9e,#FFFFFF,Y,49,5,Knit Tops,Tops,tee,Long-sleeved cathedral print mock-neck,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Surprisingly practical
18,39,The Reformation,#92c7e4,#7e456c,Y,50,5,Knit Tops,Tops,tee,Mesh tie-dye,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Trying to still dress playfully as a mom
19,33,,#FFFFFF,#3d678a,Y,48,5,Knit Tops,Tops,tank,Floral sweater,2019,"The Orme School, Mayer, AZ",N,N,N,Y,N,"June, 2019","June, 2020",Got this right before we got on a 40-hour train ride from Flagstaff to Chicago
20,40,Yan Yan,#635743,#5b4156,Y,51,5,Knit Tops,Tops,bra top,Color-block sweater ,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",One day I will wear this beauty
