group,group_y,Pattern,Pattern_ID,Primary_Color,Secondary_Color,Category,Sub_Category,Description,Year_Entered,Era,Gifted,Vintage,Online_Purchase,Traveling_Purchase,Quarantine_Purchase,Era_Date_Start,Era_End_Date,Notes
Bodysuits,1,N,,#b7857e,,Tops,bodysuit,Velvet wrap,2017,"The Orme School, Mayer, AZ",N,N,Y,N,N,"September, 2016","June, 2019",A little dated but I'm hoping pink velvet comes back around
Bodysuits,2,Y,42,#3e4a66,#FFFFFF,Tops,bodysuit,Giorgia Lupi,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",The pattern is data-driven; I wore this when I attended Giorgia Lupi's talk last year about data humanism
Bodysuits,3,Y,43,#59412e,#FFFFFF,Tops,bodysuit,Color-block,2019,"Roslindale, MA",N,Y,N,N,N,"June, 2019","June, 2020",It's actually a deadstock bathing suit!
Coats,1,N,,#000000,,Outwear,coat,Long quilted,2007,"Freshman Year, Middlebury College",Y,N,N,N,N,"September, 2006","May, 2008",Moving to Vermont necessitated a sleeping bag coat
Coats,2,N,,#d7b898,,Outwear,coat,Trench,2009,"Study Abroad, London",Y,N,N,Y,N,"August, 2009","June, 2010",Now I never need to buy a trench coat again
Coats,3,Y,19,#5e383b,#435658,Outwear,coat,Wool plaid,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",New fall coat
Dresses,1,N,,#000000,,Dresses & Jumpsuits,dress,Silk cocktail,2007,"Freshman Year, Middlebury College",Y,N,Y,N,N,"September, 2006","May, 2008","Purchased for Homecoming, still wear to weddings"
Dresses,2,N,,#514941,,Dresses & Jumpsuits,dress,Wool bow-back,2008,"Sophomore Year, Middlebury College",Y,N,N,Y,N,"September, 2008","May, 2009",I wore this to an after-hours tour of the Met during my senior year and felt very artsy
Dresses,3,N,,#423c36,,Dresses & Jumpsuits,dress,Wool shift,2008,"Sophomore Year, Middlebury College",Y,N,N,Y,N,"September, 2008","May, 2009",This is too short and tight now to be work-appropriate but I still love the pockets
Dresses,4,N,,#43467c,,Dresses & Jumpsuits,dress,Long-sleeved rib-knit,2011,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014","This one is so old, it's from before Madewell clothes had Madewell labels"
Dresses,5,Y,6,#000000,#FFFFFF,Dresses & Jumpsuits,dress,Velvet & silk,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This allegedly once belonged to a tiny French model in the 70s
Dresses,6,N,,#e7cbae,,Dresses & Jumpsuits,dress,Sequined mesh mini,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",Purchased for Steven's wizard party when we were still just friends
Dresses,7,Y,7,#6bd3db,#f9b7df,Dresses & Jumpsuits,dress,Camp Beverley Hills graphic tube,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014","Got this with Steven on an adventure to a tiny vintage store in the valley. I told the shopowner I wanted ""something scampy"""
Dresses,8,Y,9,#5ccccc,#FFFFFF,Dresses & Jumpsuits,dress,Floral-print qipao,2014,"Hangzhou, China",Y,N,N,N,N,"September, 2014","July, 2016",First birthday in China
Dresses,9,N,,#000000,,Dresses & Jumpsuits,dress,Velvet burnout prom,2014,"Moved in with Steven, Nottingham",N,Y,N,Y,N,"June, 2014","September, 2014",Got this in Berlin! Wore it recently to the last Orme prom we attended before moving east
Dresses,10,Y,10,#FFFFFF,#f97384,Dresses & Jumpsuits,dress,Floral-print skort,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Kyoto has surprisingly good vintage shopping
Dresses,11,Y,11,#ffc410,#ec5c18,Dresses & Jumpsuits,dress,Floral Knit,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016","Steven convinced me to get this one, it looks like it was made on a home sewing machine"
Dresses,17,N,,#000000,,Dresses & Jumpsuits,dress,Pinafore,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Channeling 90s layering styles
Dresses,12,Y,13,#e51e26,#1c2577,Dresses & Jumpsuits,dress,Wool plaid shift,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Wore this for Halloween 2009 when I went as a red bird
Dresses,13,N,,#000000,,Dresses & Jumpsuits,dress,Wrap suiting,2017,"The Orme School, Mayer, AZ",Y,N,N,Y,N,"September, 2016","June, 2019",Maybe one day I'll attend an event that makes sense for this dress
Dresses,14,Y,14,#5f4633,#f2cead,Dresses & Jumpsuits,dress,Embroidered shift,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Wore this to the first Orme prom we attended
Dresses,15,N,,#9eba9e,,Dresses & Jumpsuits,gown,Beaded mesh flapper,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Awesome Palm Springs find; great for weddings with a white bodysuit layered underneath
Dresses,16,N,,#b8956a,,Dresses & Jumpsuits,dress,Button-front corduroy,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Work dress
Jackets,1,Y,15,#b28256,#000000,Outwear,jacket,Houndstooth sweater,2011,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Every fall I live in this
Jackets,2,N,,#8e6f55,,Outwear,jacket,Leather motorcycle,2011,"Senior Year, Middlebury College",Y,N,N,Y,N,10-Sep,"May, 2011",I had a Vespa when I first moved to LA; I'd wear this jacket every day layered over at least one thick sweater and would still freeze my ass off
Jackets,3,Y,16,#b8b9ba,#000000,Outwear,jacket,Disco ball,2013,Los Angeles,Y,N,Y,N,N,"June, 2011","June, 2014",First gift from Steven; it's made from recycled disco balls!
Jackets,4,N,,#6d673d,,Outwear,jacket,Quilted,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Almost too prepy but so practical
Jackets,5,N,,#93a0a3,,Outwear,jacket,Denim,2014,"Hangzhou, China",Y,Y,N,Y,N,"September, 2014","July, 2016",To replace a similar one I left on a bus in Aachen
Jackets,6,Y,17,#af102c,#814979,Outwear,jacket,Yak-wool long,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016","Purchased in Nepal to commemorate our engagement, not sure if it is real yak"
Jackets,7,Y,18,#a90515,#000000,Outwear,shawl,Houndstooth blanket,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Blanket scarf FTW
Jeans,1,N,,#70797f,,Bottoms,jeans,Straight-leg,2016,"The Orme School, Mayer, AZ",Y,N,N,Y,N,"September, 2016","June, 2019",Oldest jeans in circulation
Jeans,2,N,,#000000,,Bottoms,jeans,Skinny,2016,"The Orme School, Mayer, AZ",N,N,Y,N,N,"September, 2016","June, 2019",These are about to tear in a number of places but I can't stop wearing them
Jeans,3,N,,#668596,,Bottoms,jeans,Wide-leg button-fly,2019,"Roslindale, MA",Y,N,N,Y,N,"June, 2019","June, 2020",These are my best-fitting jeans at the moment
Jeans,4,N,,#000000,,Bottoms,jeans,Wide-leg,2020,"Lawrence, MA",Y,N,Y,N,Y,"June, 2020",and beyond,New jeans! Still breaking them in
Jeans,5,N,,#8f9eb5,,Bottoms,jeans,Saddle,2020,"Lawrence, MA",Y,N,Y,N,Y,"June, 2020",and beyond,These have a silly no-butt-pocket design that reminds me of middle school in the best way
Jeans,6,N,,#f9f3ed,,Bottoms,jeans,Wide-leg,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2020",and beyond,Every time I wear these they end up mysteriously stained
Knit Tops,1,N,,#000000,,Tops,tee,Long-sleeved crew-neck,2006,"Winnetka, IL",Y,N,N,N,N,before,"September, 2006",The only item of clothing I still have from high school
Knit Tops,2,N,,#867e76,,Tops,tee,Long-sleeved raglan,2010,"Senior Year, Middlebury College",Y,N,N,N,N,10-Sep,"May, 2011",One of my last boring gray tees from an era when I wore a lot of boring gray tees
Knit Tops,3,N,,#4e4c68,,Tops,tee,Matelasse mock-neck,2012,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Textures
Knit Tops,4,N,,#8e8b88,,Tops,tee,Cardigan,2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Bought this with a gift card that I won in a raffle along with a Fiat 500
Knit Tops,5,Y,27,#eddc77,#f33fa9,Tops,tee,Sunglasses graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",So summery
Knit Tops,6,Y,28,#FFFFFF,#ea0502,Tops,tee,Running of the Bulls graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This shirt is amazing! It's like part of a theatre costume; splattered in blood with a hole where the bull's horn pierced the original owner
Knit Tops,7,Y,29,#000000,#FFFFFF,Tops,tee,EDA graphic,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",I like to wear this one and see if people notice it has a stripped on it
Knit Tops,8,Y,30,#000000,#FFFFFF,Tops,vest,Ribbed sweater,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014",Work top
Knit Tops,9,N,,#a5a19f,,Tops,vest,sweater,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This one always makes me think of Clueless; it's probably from the 90s
Knit Tops,10,Y,32,#339966,#e9a413,Tops,tee,Cal-Poly graphic ringer,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Portland OR right before we got married
Knit Tops,11,Y,33,#FFFFFF,#b8d8e8,Tops,tee,California Raisins ringer,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Portland OR right before we got married
Knit Tops,12,Y,34,#000000,#FFFFFF,Tops,vest,Abstract-print sweater,2015,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Bought this in Claremont CA right after we got married
Knit Tops,13,Y,35,#FFFFFF,#000000,Tops,tank,Ribbed striped,2016,"Hangzhou, China",N,N,N,Y,N,"September, 2014","July, 2016",From our pilgrimage to the Muji flagship store
Knit Tops,14,Y,36,#1b2278,#d02624,Tops,vest,Striped sweater,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",To wear with my Marimekko overalls
Knit Tops,15,Y,39,#FFFFFF,#924b0b,Tops,tee,Ribbed striped cap-sleeve,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Still like this one tucked into jeans
Knit Tops,16,Y,41,#aecebe,#1f443e,Tops,tank,Ribbed ringer,2018,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019","Last purchase I made before confirming I was pregnant, Spring Break road trip 2018"
Knit Tops,17,Y,49,#6d7d9e,#FFFFFF,Tops,tee,Long-sleeved cathedral print mock-neck,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Surprisingly practical
Knit Tops,18,Y,50,#92c7e4,#7e456c,Tops,tee,Mesh tie-dye,2019,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Trying to still dress playfully as a mom
Knit Tops,19,Y,48,#FFFFFF,#3d678a,Tops,tank,Floral sweater,2019,"The Orme School, Mayer, AZ",N,N,N,Y,N,"June, 2019","June, 2020",Got this right before we got on a 40-hour train ride from Flagstaff to Chicago
Knit Tops,20,N,,#7a6658,,Tops,bra top,Sweater,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,Learning to love my boobies
Knit Tops,21,Y,56,#FFFFFF,#e56d13,Tops,tee,Matisse graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,My brief foray into only wearing tee shirts and bike shorts
Knit Tops,22,Y,57,#FFFFFF,#b21d24,Tops,tee,Les Fraises graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,My brief foray into only wearing tee shirts and bike shorts
Knit Tops,23,N,,#0c443d,,Tops,top,Long-sleeved wrap,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,"Feels like cashmere, but can be washed in a machine"
Knit Tops,24,Y,51,#635743,#5b4156,Tops,bra top,Color-block sweater,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",One day I will wear this beauty
