era,start,end,start_year,location
"Winnetka, IL",1,3,,
NYU,3,7,9.2006,NYU
"Freshman Year, Middlebury College",7,11,9.2007,"Middlebury, VT"
"Sophomore Year, Middlebury College",11,15,,
"Study Abroad, London",15,19,9.2009,"London, England"
"Senior Year, Middlebury College",19,23,9.2010,"Middlebury, VT"
Los Angeles,23,34,6.2011,"Los Angeles, CA"
"Moved in with Steven, Nottingham",34,35,6.2014,"Nottingham, England"
"Hangzhou, China",35,43,9.2014,"Hangzhou, China"
"The Orme School, Mayer, AZ",43,55,9.2016,"Mayer, AZ"
"Roslindale, MA",55,59,6.2019,"Roslindale, MA"
"Lawrence, MA",59,60,6.202,"Lawrence, MA"
