date,week,day,Brand,Sub_Category,Description,group,garmentId,new,hex1,hex2,hex3,hex4,hex5,sold,pre-owned
10/5/2020,1,1,Madewell,jeans,Straight-leg,Jeans,101,N,#526378,#3a4c65,#233044,#7d8a98,#b2b6b8,Y,N
10/5/2020,1,1,Agnes B,tee,Signature graphic,Knit Tops,301,N,#000103,#000100,#030305,#dddee3,#14171b,,Y
10/6/2020,1,2,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,Y,N
10/6/2020,1,2,Flat File,tee,Matisse graphic,Knit Tops,302,N,#f4f5f6,#e4e4e5,#465380,#bdc97f,#e1704f,,N
10/7/2020,1,3,Madewell,jeans,Skinny,Jeans,103,N,#000000,#000202,#1c1e20,#323134,#4e4d4d,Y,N
10/7/2020,1,3,Madewell,shirt,Check flannel,Woven Tops,303,N,#161b17,#401414,#723c39,#593c30,#a87468,Y,N
10/7/2020,1,3,Madewell,jacket,Houndstooth sweater,Jackets,401,N,#040202,#6f574c,#584237,#866d61,#36241d,,N
10/8/2020,1,4,Aritzia,tee,Long-sleeved raglan,Knit Tops,304,N,#83858b,#78787f,#696b73,#929296,#57585f,Y,N
10/8/2020,1,4,Agolde,jeans,Wide-leg,Jeans,104,N,#e1ded8,#eeece5,#d2ceca,#c2bdb9,#aeaba7,,N
10/8/2020,1,4,J. Crew,jacket,Denim,Jackets,402,N,#717f8f,#86929f,#5f6e7e,#3f4e5e,#a2adb5,,Y
10/8/2020,1,4,,shawl,Houndstooth blanket,Jackets,403,N,#020201,#5e160a,#721c0f,#290603,#480f06,,Y
10/9/2020,1,5,Madewell,jeans,Straight-leg,Jeans,101,N,#526378,#3a4c65,#233044,#7d8a98,#b2b6b8,Y,N
10/9/2020,1,5,,shirt,Striped,Woven Tops,305,N,#c33a2b,#a79380,#a03228,#631e12,#94766a,,Y
10/9/2020,1,5,,shawl,Houndstooth blanket,Jackets,403,N,#020201,#5e160a,#721c0f,#290603,#480f06,,Y
10/10/2020,1,6,Madewell,jeans,Wide-leg button-fly,Jeans,102,N,#778ca1,#657a91,#50657c,#8d9eb0,#37485e,Y,N
10/10/2020,1,6,Closed,jacket,Leather motorcycle,Jackets,404,N,#050201,#3f2b21,#29170e,#503c30,#635043,Y,N
10/10/2020,1,6,Topshop,tee,Matelasse mock-neck,Knit Tops,306,N,#0a1330,#161f3b,#030821,#010108,#232d49,,N
10/11/2020,1,7,Paloma Wool,jumpsuit,Front-zip corduroy,Rompers & Jumpsuits,201,N,#1c4349,#15343a,#285a60,#32676c,#6d6b67,,N
10/12/2020,2,1,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,,N
10/12/2020,2,1,Leset,top,Long-sleeved wrap,Knit Tops,307,Y,#172c1e,#102417,#0c1d0f,#010303,#333837,,N
10/12/2020,2,1,,shawl,Houndstooth blanket,Jackets,403,N,#020201,#5e160a,#721c0f,#290603,#480f06,,Y
10/13/2020,2,2,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,,N
10/13/2020,2,2,The Reformation,tee,Long-sleeved cathedral print mock-neck,Knit Tops,308,N,#5b6278,#828899,#454d62,#989ca9,#d8d7d8,,N
10/14/2020,2,3,Express,tee,Long-sleeved crew-neck,Knit Tops,309,N,#04070d,#060b13,#010001,#020406,#29282c,Y,N
10/14/2020,2,3,The Reformation,jeans,Saddle,Jeans,106,Y,#121b2a,#526479,#374556,#6e7f94,#a4aeb9,,N
10/15/2020,2,4,Madewell,jeans,Skinny,Jeans,103,N,#000000,#000202,#1c1e20,#323134,#4e4d4d,Y,N
10/15/2020,2,4,The Reformation,sweatshirt,Tie-dyed half-zip,Sweaters & Sweatshirts,310,N,#d9dbe3,#eae9f0,#c8d0db,#e2e3ea,#bec0c8,Y,N
10/16/2020,2,5,Loft,tee,Cardigan,Knit Tops,311,N,#56565a,#6e7075,#87888c,#323439,#a4a5a8,Y,N
10/16/2020,2,5,Madewell,jeans,High-waisted wide-leg,Jeans,105,Y,#000003,#05060d,#0c0e16,#161a22,#30323b,,N
10/16/2020,2,5,H & M,tank,Ribbed halter,Knit Tops,312,N,#e8e9e9,#dfe0df,#d1d1d1,#c1c0c1,#a7a7a5,,N
10/17/2020,2,6,Madewell,jeans,Straight-leg,Jeans,101,N,#526378,#3a4c65,#233044,#7d8a98,#b2b6b8,Y,N
10/17/2020,2,6,Aritzia,coat,Wool plaid,Coats,405,N,#311514,#221e27,#524b50,#947e76,#614845,Y,N
10/17/2020,2,6,,shirt,Striped,Woven Tops,305,N,#c33a2b,#a79380,#a03228,#631e12,#94766a,,Y
