name,status,length,kids,age,gender
Fickle,dating,eleven_to_twenty,adult_children,to_fifty,male
Detached,dating,eleven_to_twenty,kids_none,to_forty,male
Detached,dating,eleven_to_twenty,kids_none,to_forty,male
Detached,dating,eleven_to_twenty,kids_none,to_forty,male
Detached,dating,eleven_to_twenty,kids_none,to_forty,male
Tentative,dating,eleven_to_twenty,kids_none,to_thirty,male
Detached,dating,eleven_to_twenty,kids_none,to_thirty,male
Detached,dating,eleven_to_twenty,kids_none,to_thirty,male
Broken,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Broken,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Broken,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Broken,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Shallow,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Shallow,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Shallow,dating,eleven_to_twenty,kids_to_fifth,to_fifty,male
Strong,dating,eleven_to_twenty,kids_to_fifth,to_forty,male
Strong,dating,eleven_to_twenty,kids_to_fifth,to_forty,male
Strong,dating,eleven_to_twenty,kids_to_fifth,to_forty,male
Strong,dating,eleven_to_twenty,kids_to_fifth,to_forty,male
Strong,dating,eleven_to_twenty,kids_to_fifth,to_forty,female
Broken,dating,eleven_to_twenty,kids_to_fifth,to_thirty,female
Fickle,dating,eleven_to_twenty,kids_under_five,to_fifty,female
Thriving,dating,over_thirty,adult_children,to_fifty,female
Thriving,dating,over_thirty,adult_children,to_sixty,female
Thriving,dating,over_thirty,adult_children,to_sixty,female
Reliable,dating,over_thirty,kids_none,to_fifty,female
Tentative,dating,over_thirty,kids_none,to_fifty,female
Stuck,dating,over_thirty,kids_none,to_fifty,female
Strong,dating,over_thirty,kids_none,to_fifty,female
Strong,dating,over_thirty,kids_none,to_fifty,female
Broken,dating,over_thirty,kids_none,to_fifty,female
Broken,dating,over_thirty,kids_none,to_fifty,female
Shallow,dating,over_thirty,kids_none,to_sixty,female
Shallow,dating,over_thirty,kids_none,to_sixty,female
Stuck,dating,over_thirty,kids_to_twelfth,to_fifty,female
Stuck,dating,over_thirty,kids_to_twelfth,to_fifty,female
Stuck,dating,over_thirty,kids_to_twelfth,to_fifty,female
Frayed,dating,over_thirty,kids_to_twelfth,to_fifty,female
Frayed,dating,over_thirty,kids_to_twelfth,to_fifty,female
Thriving,dating,over_thirty,kids_to_twelfth,to_fifty,female
Thriving,dating,over_thirty,kids_to_twelfth,to_fifty,female
Thriving,dating,over_thirty,kids_to_twelfth,to_fifty,female
Thriving,dating,over_thirty,kids_to_twelfth,to_fifty,female
Stuck,dating,over_thirty,kids_to_twelfth,to_sixty,male
Steady,dating,over_thirty,kids_under_five,to_fifty,male
Steady,dating,over_thirty,kids_under_five,to_fifty,male
Frayed,dating,over_thirty,kids_under_five,to_fifty,male
Frayed,dating,over_thirty,kids_under_five,to_fifty,male
Frayed,dating,over_thirty,kids_under_five,to_fifty,male
Fickle,dating,over_thirty,kids_under_five,to_fifty,male
Estranged,dating,over_thirty,kids_under_five,to_fifty,male
Estranged,dating,over_thirty,kids_under_five,to_fifty,male
Tentative,dating,six_to_ten,kids_none,to_twentyfour,male
Tentative,dating,six_to_ten,kids_none,to_twentyfour,male
Tentative,dating,six_to_ten,kids_none,to_twentyfour,male
Hopeful,dating,six_to_ten,kids_to_fifth,to_twentyfour,male
Broken,dating,six_to_ten,kids_to_fifth,to_twentyfour,male
Shallow,dating,six_to_ten,kids_under_five,to_thirty,male
Fickle,dating,six_to_ten,kids_under_five,to_twentyfour,male
Strong,dating,six_to_ten,kids_under_five,to_twentyfour,male
Tentative,dating,three_to_five,kids_none,to_thirty,male
Stuck,dating,three_to_five,kids_none,to_twentyfour,male
Stuck,dating,three_to_five,kids_none,to_twentyfour,male
Shallow,dating,three_to_five,kids_under_five,to_twentyfour,male
Detached,dating,twentyone_to_thirty,adult_children,to_sixty,male
Detached,dating,twentyone_to_thirty,adult_children,to_sixty,male
Strong,dating,twentyone_to_thirty,adult_children,to_sixty,male
Broken,dating,twentyone_to_thirty,adult_children,to_sixty,male
Broken,dating,twentyone_to_thirty,adult_children,to_sixty,male
Broken,dating,twentyone_to_thirty,adult_children,to_sixty,male
Tentative,dating,twentyone_to_thirty,kids_none,to_fifty,male
Tentative,dating,twentyone_to_thirty,kids_none,to_fifty,male
Detached,dating,twentyone_to_thirty,kids_none,to_fifty,female
Detached,dating,twentyone_to_thirty,kids_none,to_fifty,female
Thriving,dating,twentyone_to_thirty,kids_none,to_fifty,female
Thriving,dating,twentyone_to_thirty,kids_none,to_fifty,female
Thriving,dating,twentyone_to_thirty,kids_none,to_fifty,female
Shallow,dating,twentyone_to_thirty,kids_none,to_sixty,female
Shallow,dating,twentyone_to_thirty,kids_none,to_sixty,female
Shallow,dating,twentyone_to_thirty,kids_none,to_sixty,female
Steady,dating,twentyone_to_thirty,kids_to_fifth,to_fifty,female
Steady,dating,twentyone_to_thirty,kids_to_fifth,to_fifty,female
Shallow,dating,twentyone_to_thirty,kids_to_fifth,to_fifty,female
Shallow,dating,twentyone_to_thirty,kids_to_fifth,to_fifty,female
Detached,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Stuck,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Stuck,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Stuck,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Stuck,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Stuck,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Broken,dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Broken,dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male
Broken,dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male
Broken,dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male
Thriving,dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male
Thriving,dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male
Thriving,dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male
Steady,dating,twentyone_to_thirty,kids_under_five,to_fifty,male
Steady,dating,twentyone_to_thirty,kids_under_five,to_fifty,male
Estranged,dating,under_two,kids_none,to_twentyfour,male
Estranged,dating,under_two,kids_none,to_twentyfour,male
Estranged,dating,under_two,kids_none,to_twentyfour,male
Estranged,dating,under_two,kids_none,to_twentyfour,male
Tentative,dating,under_two,kids_none,under_eighteen,male
Tentative,dating,under_two,kids_none,under_eighteen,male
Tentative,dating,under_two,kids_none,under_eighteen,male
Hopeful,dating,under_two,kids_none,under_eighteen,male
Hopeful,dating,under_two,kids_none,under_eighteen,male
Strong,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Broken,dating,under_two,kids_none,under_eighteen,male
Estranged,dating,under_two,kids_none,under_eighteen,male
Estranged,dating,under_two,kids_none,under_eighteen,female
Estranged,dating,under_two,kids_none,under_eighteen,female
Estranged,dating,under_two,kids_none,under_eighteen,female
Estranged,dating,under_two,kids_none,under_eighteen,female
Steady,dating,under_two,kids_under_five,to_twentyfour,female
Hopeful,dating,under_two,kids_under_five,to_twentyfour,female
Hopeful,dating,under_two,kids_under_five,to_twentyfour,female
Fickle,dating,under_two,kids_under_five,to_twentyfour,female
Strong,dating,under_two,kids_under_five,to_twentyfour,female
Strong,dating,under_two,kids_under_five,to_twentyfour,female
Strong,dating,under_two,kids_under_five,to_twentyfour,female
Strong,dating,under_two,kids_under_five,to_twentyfour,female
Strong,dating,under_two,kids_under_five,to_twentyfour,female
Estranged,dating,under_two,kids_under_five,to_twentyfour,female
Estranged,dating,under_two,kids_under_five,to_twentyfour,female
Shallow,dating,under_two,kids_under_five,to_twentyfour,female
Shallow,dating,under_two,kids_under_five,to_twentyfour,female
Shallow,dating,under_two,kids_under_five,to_twentyfour,female
Hopeful,dating,under_two,kids_under_five,under_eighteen,female
Hopeful,dating,under_two,kids_under_five,under_eighteen,female
Hopeful,dating,under_two,kids_under_five,under_eighteen,female
Fickle,dating,under_two,kids_under_five,under_eighteen,female
Fickle,dating,under_two,kids_under_five,under_eighteen,female
Fickle,dating,under_two,kids_under_five,under_eighteen,female
Strong,dating,under_two,kids_under_five,under_eighteen,female
Broken,dating,under_two,kids_under_five,under_eighteen,female
Broken,dating,under_two,kids_under_five,under_eighteen,female
Broken,dating,under_two,kids_under_five,under_eighteen,female
Frayed,engaged,eleven_to_twenty,adult_children,to_fifty,female
Frayed,engaged,eleven_to_twenty,adult_children,to_fifty,female
Tentative,engaged,eleven_to_twenty,kids_none,to_forty,female
Hopeful,engaged,eleven_to_twenty,kids_none,to_thirty,female
Hopeful,engaged,eleven_to_twenty,kids_none,to_thirty,female
Thriving,engaged,eleven_to_twenty,kids_none,to_thirty,female
Hopeful,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Hopeful,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Hopeful,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Fickle,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Fickle,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Fickle,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Estranged,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Estranged,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Estranged,engaged,eleven_to_twenty,kids_to_fifth,to_forty,female
Thriving,engaged,eleven_to_twenty,kids_to_fifth,to_forty,male
Thriving,engaged,eleven_to_twenty,kids_to_fifth,to_forty,male
Detached,engaged,eleven_to_twenty,kids_to_fifth,to_thirty,male
Frayed,engaged,eleven_to_twenty,kids_to_twelfth,to_forty,male
Frayed,engaged,eleven_to_twenty,kids_to_twelfth,to_forty,male
Fickle,engaged,eleven_to_twenty,kids_under_five,to_thirty,male
Reliable,engaged,over_thirty,adult_children,to_fifty,male
Shallow,engaged,over_thirty,adult_children,to_fifty,male
Shallow,engaged,over_thirty,adult_children,to_fifty,male
Reliable,engaged,over_thirty,kids_none,to_fifty,male
Tentative,engaged,over_thirty,kids_none,to_fifty,male
Tentative,engaged,over_thirty,kids_none,to_fifty,male
Tentative,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Hopeful,engaged,over_thirty,kids_none,to_fifty,male
Fickle,engaged,over_thirty,kids_none,to_fifty,male
