status,length,kids,age,gender,connection,commitment,score
engaged,six_to_ten,kids_none,to_forty,female,0,0,Broken
engaged,twentyone_to_thirty,kids_none,to_fifty,male,0,0,Broken
married,six_to_ten,kids_under_five,to_thirty,male,0,0,Broken
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,0,0,Broken
remarried,under_two,kids_none,to_thirty,male,0,0,Broken
remarried,under_two,kids_none,to_twentyfour,male,0,0,Broken
dating,eleven_to_twenty,kids_to_fifth,to_fifty,male,0,1,Broken
dating,under_two,kids_under_five,under_eighteen,female,0,1,Broken
married,eleven_to_twenty,adult_children,to_fifty,male,0,1,Broken
married,eleven_to_twenty,kids_to_fifth,to_forty,female,0,1,Broken
married,over_thirty,kids_none,to_fifty,female,0,1,Broken
married,over_thirty,kids_none,to_fifty,male,0,1,Broken
married,over_thirty,kids_to_twelfth,to_fifty,female,0,1,Broken
married,three_to_five,kids_none,to_forty,female,0,1,Broken
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,1,Broken
remarried,over_thirty,kids_none,to_fifty,female,0,1,Broken
remarried,twentyone_to_thirty,kids_none,to_fifty,male,0,1,Broken
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,1,Broken
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,1,Broken
engaged,over_thirty,kids_to_twelfth,to_fifty,female,0,2,Broken
living_together,twentyone_to_thirty,kids_none,to_fifty,male,0,2,Broken
married,over_thirty,kids_to_twelfth,to_fifty,female,0,2,Broken
married,three_to_five,kids_to_fifth,to_thirty,female,0,2,Broken
married,twentyone_to_thirty,adult_children,to_seventy,male,0,2,Broken
remarried,eleven_to_twenty,kids_under_five,to_forty,female,0,2,Broken
remarried,over_thirty,kids_to_twelfth,to_fifty,male,0,2,Broken
remarried,six_to_ten,kids_to_fifth,to_twentyfour,female,0,2,Broken
remarried,under_two,kids_none,to_twentyfour,male,0,2,Broken
dating,eleven_to_twenty,adult_children,to_fifty,male,0,3,Broken
dating,under_two,kids_under_five,under_eighteen,female,0,3,Broken
engaged,under_two,kids_none,to_twentyfour,male,0,3,Broken
living_together,eleven_to_twenty,kids_to_twelfth,to_forty,female,0,3,Broken
