Relationship Status,Which describes you best?,How happy are you right now in your relationship?  (label),How happy are you right now in your relationship? ,"In the past few months, how frequently have you thought about ending the relationship?  (label)","In the past few months, how frequently have you thought about ending the relationship? ","These days, how do you feel when it comes to handling finances with your partner (spending, saving, managing, etc.)? (label)","These days, how do you feel when it comes to handling finances with your partner (spending, saving, managing, etc.)?","Over the past few months, how satisfied have you felt with your level of physical intimacy and affection? (label)","Over the past few months, how satisfied have you felt with your level of physical intimacy and affection?",How frequently do you confide in each other? (label),How frequently do you confide in each other?,"How frequently do you enjoy a shared, fun activity that you both enjoy together? (label)","How frequently do you enjoy a shared, fun activity that you both enjoy together?","These days, our conversations feel meaningful and engaging. (label)","These days, our conversations feel meaningful and engaging.",How much do you and your partner laugh together these days? (label),How much do you and your partner laugh together these days?,"These days, I feel like my partner and I understand each other deeply. (label)","These days, I feel like my partner and I understand each other deeply.",How often does your partner show love in ways that feel meaningful to you? (label),How often does your partner show love in ways that feel meaningful to you?,"Over the past few months, when I've needed support, my partner was there for me. (label)","Over the past few months, when I've needed support, my partner was there for me.","No matter how difficult it may get, I am completely committed to doing whatever it takes to make this relationship work. (label)","No matter how difficult it may get, I am completely committed to doing whatever it takes to make this relationship work.","In reviewing the past few months, I can point to specific actions and efforts that I’ve taken to make the relationship stronger. (label)","In reviewing the past few months, I can point to specific actions and efforts that I’ve taken to make the relationship stronger.","These days, I really look forward to conversations together to improve our relationship. (label)","These days, I really look forward to conversations together to improve our relationship.","Over the past few months, how often do you find yourself excited about planning or participating in activities that strengthen your relationship? (label)","Over the past few months, how often do you find yourself excited about planning or participating in activities that strengthen your relationship?","Over the past few months, how often have you initiated effort and creativity into making your relationship stronger? (label)","Over the past few months, how often have you initiated effort and creativity into making your relationship stronger?","Currently, how eager are you to discuss relationship challenges with your partner? (label)","Currently, how eager are you to discuss relationship challenges with your partner?","How open are you to exploring resources (e.g., books, workshops, apps, or counseling) to improve your relationship? (label)","How open are you to exploring resources (e.g., books, workshops, apps, or counseling) to improve your relationship?",Which word best describes the current state of your relationship? (label),Which word best describes the current state of your relationship?,How aligned do you currently feel with your partner when it comes to your faith and spiritual beliefs?,"Outside of your partner, how strong is your current support system for your relationship? (mentors, close friends, or a community that encourages your relationship)",Check the top 3 issues you’d like to improve:,Relationship Status:  (label),Relationship Status: ,Relationship Status: ,How long have you been together? ,Which best describes you right now? ,How would you describe your faith right now?,How often do you experience a deep sense of connection with God in your daily life?,How long have you been attending our church? ,Kids (check all that apply),Your Age,Gender,Church Slug,HeartChart URL,38-pt COMMITMENT,10-pt Commitment,,40-pt CONNECTION,10-pt Connection,Relationship STATE
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,A couple times,1,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Slightly eager,1,Slightly open,1,Shaky,0,Mostly aligned,Weak,"Communication, Financial Management as a Team, Trust/Honesty",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,"I have kids 6th-12th grade, I have adult children",41-50,Female,calvary-chapel-star,https://dashboard.amfm.org/heart-chart/calvary-chapel-star/rWRMeo/,3,1,,1,0,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,I’m actively using relationship resources,4,Shaky,0,Not aligned,Somewhat strong,"Financial Management as a Team, Spiritual Intimacy, Trust/Honesty",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,I have kids 6th-12th grade,41-50,Female,calvary-chapel-star,https://dashboard.amfm.org/heart-chart/calvary-chapel-star/rWRMeo/,5,1,,1,0,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,It’s a struggle,0,Unsatisfied,1,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,"Sometimes, when the mood is right",2,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Very open,3,Shaky,0,Barely aligned,Very weak,"Financial Management as a Team, Spiritual Intimacy, Trust/Honesty",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have kids 6th-12th grade,41-50,Female,calvary-chapel-star,https://dashboard.amfm.org/heart-chart/calvary-chapel-star/rWRMeo/,4,1,,3,1,Broken
In a Relationship,I'm working at it but certainly not perfect,Rarely happy,1,Quite a bit,0,Bit of a challenge,1,It’s a struggle,0,"Hardly ever, if it all",0,Not often,1,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Not often, but it happens",1,Not really,1,Probably,2,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Slightly open,1,Shaky,0,Mostly aligned,Nonexistent,"Communication, Conflict Management, Trust/Honesty",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,7,Over a year,I have adult children,41-50,Male,calvary-chapel-star,https://dashboard.amfm.org/heart-chart/calvary-chapel-star/rWRMeo/,4,1,,5,1,Broken
In a Relationship,I'm working at it but certainly not perfect,Rarely happy,1,A couple times,1,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Slightly open,1,Uneven,1,Mostly aligned,Weak,"Communication, Financial Management as a Team, Trust/Honesty",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,5,Over a year,"I have kids 6th-12th grade, I have adult children",41-50,Female,calvary-chapel-star,https://dashboard.amfm.org/heart-chart/calvary-chapel-star/rWRMeo/,4,1,,2,1,Broken
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Not happy at all,0,Quite a bit,0,Wish it was better,2,It’s a struggle,0,"Hardly ever, if it all",0,Not often,1,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Very open,3,Shaky,0,Somewhat aligned,Somewhat strong,"Communication, Conflict Management, Trust/Honesty",Married,0,,11-20 years,I’m a Christian,I’m coming back to my faith after some time away,2,1-6 months,I have kids K-5th grade,31-40,Female,calvary-chapel-star,https://dashboard.amfm.org/heart-chart/calvary-chapel-star/rWRMeo/,5,1,,3,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,"Sometimes, when the mood is right",2,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Somewhat true for me,2,Never,0,Never,0,Never,0,Not at all eager,0,Slightly open,1,Shaky,0,Not aligned,Nonexistent,"Conflict Management, Quality Time/Use of Free Time, Spiritual Intimacy",Dating,2,,6-10 years,I’m a Christian,I’m coming back to my faith after some time away,8,Over a year,I have kids 6th-12th grade,31-40,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,-5,-1,,2,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Nonexistent,"Forgiveness, Romance/Sexual Fulfillment, Trust/Honesty",Married,0,,11-20 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,"I have kids 6th-12th grade, I have adult children",51-60,Male,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,0,0,,0,0,Broken
In a Relationship,Agree,Somewhat happy,2,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,Once in a blue moon,1,It’s been ages,0,Not very often,1,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Not sure,1,Slightly true for me,1,Sometimes,2,Sometimes,2,Rarely,1,Not at all eager,0,Slightly open,1,Shaky,0,Barely aligned,Very weak,"Communication, Conflict Management, Forgiveness",Dating,2,,3-5 years,I’m a Christian,I’ve been following Jesus for a long time,7,Less than a month,I don't have kids,41-50,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,1,0,,3,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s working well,3,It’s a struggle,0,Once in a blue moon,1,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Mostly aligned,Nonexistent,"Communication, Conflict Management, Trust/Honesty",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,7,Over a year,I have adult children,61-70,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,1,0,,4,1,Broken
