NAME,MONTH,CITY,STATE,ZIP_CODE,MESSAGE_COUNT
Lakeview Church,2024-09-01 00:00:00.000 Z,Tarpon Springs,FL,34688,12666
Alpha Epsilon Lambda,2024-04-01 00:00:00.000 Z,Jackson,MS,39206,1521
Next Ministries,2022-09-01 00:00:00.000 Z,Chicago,IL,60616-2001,4761
Fresh Anointing Ministries Worship Center,2023-09-01 00:00:00.000 Z,Summerville,SC,29486,1568
Overflow Church,2024-07-01 00:00:00.000 Z,Angier,NC,27501,56826
Next Steps,2023-03-01 00:00:00.000 Z,Trujillo Alto,PR,00976,3800
Oceanside Church,2024-08-01 00:00:00.000 Z,Boca Raton,FL,33434-2836,96534
First Presbyterian Harlan,2024-07-01 00:00:00.000 Z,Harlan,KY,40831,27
The Living Way,2022-12-01 00:00:00.000 Z,Concord,CA,94519,986
Hope To You Community Church and Church of the Redeemer,2024-11-01 00:00:00.000 Z,Bowie,MD,20715,30
Journey wc,2023-07-01 00:00:00.000 Z,Plainfield,WI,54966,19864
Victory outreach,2024-03-01 00:00:00.000 Z,Pomona,CA,91768,80
Greater Love Fellowship Tabernacle,2024-11-01 00:00:00.000 Z,Conyers,GA,30013,10251
Nine Lakes Baptist Church,2023-07-01 00:00:00.000 Z,Federal Way,WA,98003,73
Next Ministries,2024-02-01 00:00:00.000 Z,Chicago,IL,60616-2001,3434
The Soma Network,2023-08-01 00:00:00.000 Z,Bellevue,WA,98004,67
Carey Nieuwhof,2021-07-01 00:00:00.000 Z,,,,35
Next Ministries,2022-01-01 00:00:00.000 Z,Chicago,IL,60616-2001,31
Pilgrim Rest Missionary Baptist Church,2025-01-01 00:00:00.000 Z,Aberdeen,MS,39730,781
Church of the Living God,2025-01-01 00:00:00.000 Z,Winchester,KY,40391,526
Next Steps,2023-08-01 00:00:00.000 Z,Trujillo Alto,PR,00976,516
The Living Way,2023-03-01 00:00:00.000 Z,Concord,CA,94519,1075
The 1825,2021-12-01 00:00:00.000 Z,Knoxville,TN,,4680
Milford First Brethren Church,2023-04-01 00:00:00.000 Z,Milford,IN,46542,16
First Baptist Oak Grove,2024-09-01 00:00:00.000 Z,Oak Grove,MO,64075,9511
Community Bible Church,2024-05-01 00:00:00.000 Z,Marietta,PA,17547,43
