CAMPUS_NAME,WALK_COUNT,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
University of Central Florida- Orlando (Main),18,Orlando,FL,32816,28.61,-81.2
University of Nevada-Las Vegas- Shadown Lane,1,Las Vegas,NV,89106,36.16,-115.16
University of Florida- Gainesville (Main),7,Gainesville,FL,32611,29.61,-82.37
Bucks County Community College- Newtown (Main),3,Newtown,PA,18940,40.24,-74.97
University of West Georgia - Carrolton (Main),1,Carrollton,GA,30118,33.57,-85.1
Southern Utah University,3,Cedar City,UT,84720,37.68,-113.07
Northwest State Community College,1,Archbold,OH,43502,41.45,-84.3
West Liberty University,2,Wheeling,WV,26003,40.16,-80.6
Oregon State University,1,Corvallis,OR,97331,44.56,-123.28
Canisius College,1,Buffalo,NY,14208,42.92,-78.85
Indiana State University,1,Terre Haute,IN,47809,39.47,-87.41
Central Arizona College- Signal Peak,1,Coolidge,AZ,85128,32.955976,-111.6520575
University of Redlands,2,Redlands,CA,92374,34.06,-117.16
Central Arizona College- Maricopa,1,Maricopa,AZ,85138,33.04,-112
Idaho State University- Meridien,1,Meridian,ID,83642,43.59,-116.38
Northern State University,1,Aberdeen,SD,57401,45.45,-98.48
South Georgia State College - Waycross,1,Waycross,GA,31503,31.21,-82.39
Wenatchee Valley College,2,Wenatchee,WA,98801,47.43,-120.33
University of Northern Colorado,1,Greeley,CO,80631,40.41,-104.69
Glendale Community College,1,Glendale,AZ,85302,33.57,-112.19
University of North Carolina Wilmington,2,Wilmington,NC,28403,34.23,-77.88
University of Wisconsin - Milwaukee at Washington County,1,West Bend,WI,53095,43.42,-88.21
Stockton University,1, Galloway,NJ,08205,39.49302,-74.5363988
James Madison University,6,Harrisonburg,VA,22801,38.44,-78.88
California State University-Long Beach,2,Long Beach,CA,90815,33.78,-118.12
Roger Williams University - Bristol (Main),1,Bristol,RI,2809,41.65,-71.26
Grove City College,1,Grove City,PA,16127,41.16,-80.08
University of North Carolina at Charlotte,1,Charlotte,NC,28223,35.3,-80.73
Suffolk University,1,Boston,MA,2108,42.36,-71.06
Eastern Washington University- (Main),1,Cheney,WA,99004,47.49,-117.58
Minnesota State Community and Technical College- Moorehead,1,Moorhead,MN,56560,46.85,-96.75
University of California-Riverside,1,Riverside,CA,92521,33.98,-117.33
BridgeValley Community & Technical College - South Charleston campus,1,South Charleston,WV,25303,38.35,-81.7
The John Marshall Law School - Chicago,1,Chicago,IL,60604,41.88,-87.63
East Tennessee State University,1,Johnson City,TN,37614,36.3,-82.37
Nebraska Indian Community College,1,Macy,NE,68039,42.12,-96.35
Iowa State University,4,Ames,IA,50011,42.03,-93.65
Colorado Northwestern Community College - Rangley (Main),1,Rangely,CO,81648,40.08,-108.79
Southern Methodist University,1,Dallas,TX,75205,32.84,-96.79
Clemson University,4,Clemson,SC,29634,34.68,-82.84
Baylor University,3,Waco,TX,76798,31.54,-97.12
Yale University - West,1,Orange,CT,6477,41.25,-73
California State University-San Marcos,3,San Marcos,CA,92078,33.13,-117.16
