ID,ORGANIZATION_NAME,ORGANIZATION_TYPE,STREET_ADDRESS,CITY,STATE,ZIP,LATITUDE,LONGITUDE,NUMBER_OF_LIGHTS,PRAYERS,LISTEN_EVENTS,EAT_EVENTS,SERVE_EVENTS,SHARE_YOUR_STORY_EVENTS,ACCOUNT_TYPE
2,Safety Harbor Covenant,Church,401 2nd Street North,Safety Harbor,FL,34695,27.992128,-82.691474,1,0,0,0,0,0,Free account
4,Alabama State Board of Missions,Association,1404 Fairview Avenue,Prattville,AL,36066,32.327622,-86.28119,899,565007,1616,58,247,887,Free account
6,Hawaii Pacific Baptist Convention,Association,2042 VANCOUVER DR,Honolulu,HI,96822,21.3010363,-157.8217748,22,16746,457,0,0,390,Free account
7,South Carolina Baptist Convention,Association,190 STONERIDGE DR,Columbia,SC,29210,34.013955,-81.074882,1408,918748,4861,149,223,1603,Paid account
12,Baptist Resource Network -PA-SJ,Association,4620 Fritchey St,Harrisburg,PA,17109,40.3011045,-76.813586,58,43346,517,0,1,394,Paid account
13,Baptist Convention of NE,Church,87 Lincoln St.,Northborough,CT,01532,42.2688858,-71.7658237,2,686,3,0,0,0,Free account
16,Mississippi Baptist Convention,Church,515 Mississippi St,Jackson,MS,39205,32.3024967,-90.1807094,0,0,0,0,0,0,Free account
17,Minnesota Wisconsin Bapt Convention,Association,519 16th Street Southeast,Rochester,MN,55904,44.0003,-92.454427,60,23787,442,1,1,405,Paid account
18,Midwestern Baptist Seminary,Church,5001 N OAK TRFY,Kansas City,KS,64118,39.185799,-94.5738744,1,8,3,0,0,2,Paid account
23,Bellevue Baptist Church,Church,2000 APPLING RD,Cordova,TN,38018,35.178668,-89.810638,59,27839,140,3,4,33,Paid account
26,Church of the Nazarene - Wasilla,Church,2001 East Palmer-Wasilla,Wassila,AK,99654,61.5810258,-149.3996908,4,16,3,0,0,3,Free account
28,First Assembly of God,Church,3400 Moanalua Rd,Honolulu,HI,96819,21.3655909,-157.9025067,2,0,0,0,0,0,Free account
50,Dallas Baptist Association,Association,8001 E R L THORNTON FWY,Dallas,TX,75228,32.794334,-96.704997,242,117697,1333,22,77,792,Free account
59,Harmony and Pittsburg Baptist Assoc,Association,403 Daingerfield St,Pittsburg,TX,75686,32.9958354,-94.9615525,3,1263,377,0,0,373,Free account
61,Holston Baptist Association,Association,207 University Pkwy,Johnson City,TN,37604,36.3051499,-82.3454332,94,65516,788,1,2,618,Free account
62,Serve the City,Church,1608 Arizona Avenue NE,Cedar Rapids,IA,52402,42.0162059,-91.660167,0,0,0,0,0,0,Free account
