YEAR,MONTH,STATE,COUNTY,SUM(BEGIN_WITH_PRAYER),SUM(LISTEN),SUM(EAT),SUM(SERVE),SUM(SHARE_YOUR_STORY)
2024,6,AZ,Maricopa County,5143,29,15,1,7
2024,6,AR,Saline County,1165,2,10,24,2
2024,6,OK,Washington County,3582,7,1,3,0
2024,6,TX,Harris County,12530,11,6,8,4
2024,6,TN,Knox County,5165,3,3,12,6
2024,6,TX,Harrison County,1080,0,0,0,0
2024,6,TX,Tarrant County,20630,115,104,106,70
2024,6,VA,Colonial Heights city,1490,18,15,25,14
2024,6,GA,Clayton County,694,0,0,0,0
2024,6,CA,Shasta County,110,0,0,0,0
2024,6,NC,Alamance County,980,0,0,0,0
2024,6,IL,Effingham County,215,1,1,2,1
2024,6,IN,Clay County,150,0,0,0,0
2024,6,TX,Burnet County,698,20,20,24,20
2024,6,UT,Weber County,150,0,0,0,0
2024,6,MI,Tuscola County,80,0,0,0,0
2024,6,MN,Sherburne County,170,0,0,0,0
2024,7,IN,Boone County,250,0,0,0,0
2024,7,AZ,Yavapai County,660,0,0,0,0
2024,7,KS,Coffey County,40,0,0,0,0
2024,7,LA,Ascension Parish,300,1,0,3,0
2024,7,MO,Franklin County,685,1,0,0,0
2024,7,MO,Scott County,385,0,0,0,0
2024,7,NC,Davidson County,775,0,0,0,0
2024,7,NE,Otoe County,440,0,0,0,0
2024,7,MO,Cass County,2704,1,1,0,0
2024,7,UT,Weber County,155,0,0,0,0
2024,7,VA,Prince Edward County,485,0,0,0,0
2024,7,MA,Norfolk County,507,2,0,0,0
2024,7,MN,Cass County,476,0,0,0,0
2024,7,NY,Queens County,370,6,0,4,0
2024,7,KY,Mercer County,530,1,0,0,0
2024,8,AR,Saline County,1097,4,2,4,1
2024,8,CA,Orange County,2030,2,2,2,0
2024,8,FL,St. Johns County,4587,0,2,2,1
2024,8,MI,Kent County,4137,7,2,3,4
2024,8,MO,Webster County,765,1,0,4,0
2024,8,TN,Maury County,1648,2,1,1,2
2024,8,TN,Robertson County,5834,8,2,6,0
2024,8,WI,Sauk County,290,0,0,0,0
2024,8,SC,Lee County,15,0,0,0,0
2024,8,NE,Garden County,250,0,0,0,0
2024,8,PA,Franklin County,440,3,1,4,3
2024,8,VA,Portsmouth city,290,0,0,0,0
2024,8,TN,Hardin County,300,0,0,0,0
2024,9,OH,Lucas County,765,0,0,6,0
2024,9,TX,Collin County,7691,17,7,7,5
2024,9,FL,Charlotte County,4338,7,5,3,3
2024,9,FL,Volusia County,4109,1,2,2,1
2024,9,NC,Johnston County,470,6,0,0,0
2024,9,GA,Barrow County,370,0,0,0,0
2024,9,KS,Jefferson County,60,0,0,0,0
2024,9,SC,Bamberg County,205,0,0,0,0
2024,9,PA,Bucks County,140,0,0,0,0
2024,9,KS,Wyandotte County,1448,0,0,0,0
2024,10,FL,Baker County,239,0,0,0,0
2024,10,MN,Anoka County,4663,8,4,5,9
2024,10,TX,Fisher County,342,0,0,0,0
2024,10,VA,Culpeper County,212,1,0,1,0
2024,10,PA,Bradford County,410,1,0,1,0
2024,11,MI,Ingham County,400,0,0,0,0
2024,12,TN,Wilson County,2674,7,4,11,0
2024,12,VA,Shenandoah County,230,0,0,0,0
2024,6,FL,Levy County,225,0,0,0,0
2024,6,TX,Castro County,1095,0,0,0,0
2024,6,GA,Forsyth County,1815,0,0,0,0
2024,6,FL,Clay County,1206,0,0,0,3
2024,6,NC,Johnston County,550,0,0,0,0
2024,7,MI,Kent County,3981,6,14,34,7
2024,7,WA,Clark County,1161,2,0,0,1
2024,7,MO,St. Charles County,4243,20,3,7,2
2024,7,KY,Jessamine County,470,0,0,0,0
2024,7,TX,Hutchinson County,545,0,0,0,0
2024,7,MN,Faribault County,15,0,0,0,0
2024,7,VA,Orange County,105,0,0,0,0
2024,8,AL,Madison County,4595,4,1,2,2
2024,8,MO,St. Charles County,4022,18,2,11,4
2024,8,NY,Erie County,1008,0,3,0,0
2024,8,VA,Pittsylvania County,1691,1,0,2,0
2024,8,WA,Pierce County,2132,2,0,0,0
2024,8,WI,St. Croix County,365,0,0,0,4
2024,8,GA,Tift County,155,0,0,0,0
2024,8,AL,Coffee County,552,3,0,10,4
2024,8,OH,Lawrence County,385,0,0,0,3
2024,8,VA,Nelson County,335,0,0,0,0
2024,8,IN,Clark County,280,0,0,0,0
2024,8,KY,Oldham County,215,0,0,0,0
2024,8,IN,Monroe County,240,0,1,0,0
2024,9,GA,Douglas County,1755,0,0,0,0
2024,9,CA,San Luis Obispo County,845,2,0,0,0
2024,9,CA,Shasta County,115,0,0,0,0
2024,9,VA,Bristol city,315,0,0,0,0
2024,9,FL,Sarasota County,4726,29,21,30,7
2024,9,GA,Fayette County,789,1,0,0,1
2024,9,PA,Chester County,1206,3,0,7,0
2024,9,SC,Fairfield County,295,0,0,0,0
2024,9,TX,Robertson County,135,0,0,0,0
2024,9,MO,Madison County,555,0,0,0,0
2024,9,VA,Amelia County,417,0,0,0,0
2024,9,IN,Harrison County,140,0,0,0,0
2024,9,TX,Gregg County,254,0,0,0,0
2024,9,CA,San Joaquin County,449,2,0,0,1
2024,9,AL,Russell County,305,3,2,4,0
2024,10,FL,Okaloosa County,843,7,2,3,3
2024,10,IN,Tippecanoe County,1415,0,0,0,0
2024,10,AR,Washington County,1315,0,0,0,0
2024,10,ID,Lemhi County,205,0,0,0,0
2024,10,TN,Shelby County,8183,1,1,1,1
2024,10,TX,Kerr County,1415,0,0,97,0
2024,10,WI,Green Lake County,355,0,0,0,0
2024,10,FL,St. Johns County,4289,0,0,0,1
2024,10,KY,Lawrence County,17,0,0,0,1
2024,10,AL,Tuscaloosa County,255,0,0,0,0
2024,10,SC,Sumter County,356,0,0,0,0
2024,10,VA,King George County,490,0,0,0,0
2024,10,MT,Missoula County,170,0,0,0,0
2024,10,RI,Providence County,70,0,0,1,0
2024,10,CA,Sacramento County,161,3,0,3,0
2024,10,AL,Baldwin County,651,2,0,0,1
2024,10,PA,Carbon County,120,0,0,0,0
2024,10,OR,Clatsop County,18,2,0,0,0
2024,10,NJ,Burlington County,388,0,0,0,0
2024,11,IL,McHenry County,1166,0,0,0,0
2024,11,KY,Campbell County,415,0,0,0,0
2024,11,MS,Wayne County,155,0,0,0,0
2024,11,WA,Pierce County,1546,2,1,1,1
2024,11,GA,DeKalb County,1499,3,1,2,1
2024,11,OK,Cleveland County,1087,0,0,0,0
2024,11,CA,San Luis Obispo County,850,0,0,0,0
2024,11,CO,Mesa County,505,0,0,0,0
2024,11,CO,Arapahoe County,275,0,0,0,0
2024,11,TX,Wichita County,160,0,0,0,0
2024,11,TN,Anderson County,520,0,0,0,0
2024,11,PA,Washington County,430,0,0,0,0
2024,11,NJ,Monmouth County,120,0,0,0,0
2024,12,TN,Sequatchie County,300,1,0,7,0
2024,12,WI,Sheboygan County,1815,0,0,0,0
2024,12,IN,Hendricks County,1410,1,0,0,0
2024,12,OH,Medina County,530,0,0,0,0
2024,12,VA,Spotsylvania County,3147,0,0,0,0
2024,12,VA,Fredericksburg city,420,0,0,0,0
2024,12,WI,Waukesha County,570,0,0,0,0
2024,12,KS,Sedgwick County,1048,0,0,0,0
2024,12,NE,Otoe County,265,0,0,0,0
2024,12,KS,Linn County,305,0,0,0,0
2024,12,GA,Catoosa County,1288,1,0,1,0
2024,12,OH,Hamilton County,3223,6,4,0,0
2024,12,NC,Granville County,490,0,0,0,0
2024,12,CO,Adams County,171,2,1,1,1
2024,12,WI,Milwaukee County,470,0,0,0,0
