date,engagedUsers,totalReach,organicReach,paidReach,totalImpressions,organicImpressions,paidImpressions
14-Sep,26,2006,93,1900,5073,1236,3716
15-Sep,29,2335,91,2228,6190,1196,4879
16-Sep,29,2395,90,2294,6390,1122,5147
17-Sep,29,2395,87,2294,6348,1077,5147
18-Sep,29,2395,87,2294,6317,1047,5147
19-Sep,29,2395,84,2294,6269,1005,5147
20-Sep,29,2395,84,2294,6232,959,5147
21-Sep,29,2395,81,2294,6177,916,5147
22-Sep,29,2392,78,2294,6177,915,5147
23-Sep,28,2392,77,2294,6077,824,5147
24-Sep,31,2395,77,2294,6023,775,5147
25-Sep,31,2385,73,2294,5965,717,5147
26-Sep,30,2379,67,2294,5867,627,5147
27-Sep,32,2376,65,2294,5841,580,5147
28-Sep,32,2376,65,2294,5840,579,5147
29-Sep,32,2376,64,2294,5828,567,5147
30-Sep,32,2376,64,2294,5837,573,5147
1-Oct,32,2376,62,2294,5833,574,5147
2-Oct,32,2369,59,2294,5821,561,5147
3-Oct,31,2366,57,2294,5797,539,5147
4-Oct,31,2363,55,2294,5838,553,5147
5-Oct,31,2363,54,2294,5836,550,5147
6-Oct,31,2363,54,2294,5835,549,5147
7-Oct,31,2369,59,2294,5872,583,5147
8-Oct,68,2511,168,2294,6284,877,5147
9-Oct,71,2298,183,2077,5776,956,4496
10-Oct,66,2104,198,1875,5120,1029,3736
11-Oct,60,1707,198,1483,3977,1031,2586
