date,delay,distance,origin,destination
1010001,14,405,MCI,MDW
1010540,5,389,ONT,SMF
1010600,3,303,MSY,HOU
1010605,5,236,LAS,LAX
1010615,0,197,FLL,TPA
1010615,0,399,SEA,BOI
1010615,5,562,ELP,DAL
1010620,0,491,BNA,MCI
1010625,0,313,MCI,OKC
1010625,1,271,MDW,SDF
1010625,5,689,SLC,SEA
1010630,1,682,BWI,BHM
1010630,10,370,PHX,LAX
1010630,15,177,BHM,BNA
1010630,2,562,DAL,ELP
1010635,0,453,HOU,TUL
1010635,1,601,RNO,PHX
1010635,2,670,BNA,HOU
1010635,9,677,ABQ,LAX
1010640,3,833,OKC,PHX
1010640,5,495,SDF,BWI
1010645,5,405,MCI,MDW
1010645,9,460,TPA,BHM
1010647,17,293,LBB,DAL
1010650,20,570,BHM,HOU
1010650,7,588,BWI,BNA
1010653,16,590,SLC,LAX
1010700,0,223,BUR,LAS
1010700,0,303,MSY,HOU
1010700,1,358,BUR,SMF
1010700,12,550,MCO,MSY
1010700,17,284,MDW,CMH
1010700,4,307,CLE,MDW
1010705,0,588,OAK,SLC
1010705,13,365,JAX,BHM
1010705,4,1072,MCO,MCI
1010705,7,967,MCI,BWI
1010710,0,1506,SDF,PHX
1010710,2,842,TPA,BWI
1010715,24,938,MHT,BNA
1010720,13,479,SMF,PDX
1010725,4,294,MAF,AUS
1010730,0,308,SJC,LAX
1010730,25,928,TPA,AUS
1010730,4,410,BHM,STL
1010730,6,673,FLL,MSY
1010730,8,448,CLE,BNA
1010735,23,377,MHT,BWI
1010735,6,1011,BUF,MCO
1010735,8,345,RNO,LAS
1010738,5,370,LAX,PHX
1010740,0,248,SAT,DAL
1010744,10,308,LAX,SJC
1010745,0,283,BDL,BWI
1010745,2,507,PHX,SLC
1010745,5,487,TPA,MSY
1010745,9,395,BNA,MDW
1010750,4,1455,BHM,PHX
1010755,19,284,MDW,CMH
1010755,4,587,MCO,JAN
1010755,6,321,BHM,MSY
1010800,0,342,SJC,SNA
1010800,0,358,SMF,BUR
1010800,0,612,BNA,TPA
1010800,12,358,BUR,SMF
1010800,13,389,ONT,SMF
1010800,9,1797,BNA,LAX
1010800,9,437,MSY,DAL
1010805,25,1448,BNA,PHX
1010805,7,457,BNA,DTW
1010807,10,189,DAL,AUS
1010810,0,714,LAX,ELP
1010810,5,484,JAX,BNA
1010815,5,223,TUL,MCI
1010815,8,1588,BNA,LAS
1010815,8,321,MSY,BHM
1010817,13,303,MSY,HOU
1010820,8,405,MCI,MDW
1010821,10,236,LAX,LAS
1010825,5,1588,LAS,BNA
1010825,5,368,LAS,SLC
1010830,0,370,LAX,PHX
1010830,0,446,SAN,OAK
1010830,31,758,AMA,LAS
1010835,0,480,SAN,SMF
1010835,5,605,SMF,SEA
1010838,14,937,HOU,MDW
1010840,6,1142,MHT,MCO
1010845,0,279,GEG,PDX
1010845,0,588,OAK,SLC
1010845,1,323,SDF,BHM
1010845,14,1407,BWI,SAT
1010845,2,889,ABQ,OAK
1010845,27,368,SLC,LAS
1010846,2,397,LAS,SMF
1010848,7,423,MDW,OMA
1010850,0,453,HOU,TUL
1010850,10,325,ONT,PHX
1010850,18,765,MDW,ISP
1010855,3,405,MDW,MCI
1010855,4,838,MDW,MHT
1010855,7,220,BWI,ISP
1010900,0,1034,ISP,TPA
1010900,0,389,SMF,ONT
1010900,13,484,BNA,JAX
1010900,22,181,DAL,OKC
1010900,42,1999,BWI,PHX
1010900,5,370,PHX,LAX
1010900,8,303,MSY,HOU
1010903,3,697,SJC,SEA
1010903,5,395,MDW,BNA
1010905,6,759,HOU,ABQ
1010908,3,370,LAX,PHX
1010909,31,236,LAS,LAX
1010910,0,1235,HOU,LAS
1010913,0,444,PDX,RNO
1010913,0,451,IND,MCI
1010913,12,666,JAN,MDW
1010915,4,296,DAL,LIT
1010918,9,570,BHM,HOU
1010920,0,407,OAK,LAS
1010920,2,543,OAK,PDX
1010922,4,937,MDW,HOU
1010924,14,2106,LAS,BWI
1010925,3,303,MSY,HOU
1010925,4,358,SMF,BUR
1010925,5,487,ABQ,LAS
1010930,0,281,BUF,BWI
1010930,12,314,CLE,BWI
1010930,2,935,TUL,PHX
1010930,3,405,MCI,MDW
1010930,8,580,DAL,ABQ
1010933,13,283,BWI,BDL
1010935,0,682,BHM,BWI
1010935,3,471,BNA,MSY
1010935,5,371,SNA,OAK
1010937,13,829,CMH,TPA
1010938,8,1242,AUS,LAX
1010939,18,513,JAX,MSY
1010939,36,1751,BNA,SAN
1010940,0,325,OAK,BUR
1010940,0,612,TPA,BNA
1010942,16,632,MDW,RDU
1010945,0,293,DAL,LBB
1010945,10,291,SLC,BOI
1010945,4,663,BWI,JAX
1010945,7,907,BNA,PVD
1010946,8,1137,PVD,TPA
1010947,6,319,MAF,DAL
1010948,27,479,SMF,PDX
1010948,3,1301,MSY,PHX
1010948,7,590,LAX,SLC
1010950,6,324,AMA,DAL
1010953,18,687,HOU,STL
1010954,4,223,MCI,TUL
1010955,0,842,BWI,TPA
1010955,1,828,MCO,IND
1010955,77,279,PDX,GEG
1010956,13,515,BWI,IND
1011000,0,229,MDW,DTW
1011000,0,236,LAS,LAX
1011000,10,1501,MSY,LAS
1011000,5,727,SDF,TPA
1011000,9,888,JAN,BWI
1011003,18,630,SLC,PDX
1011008,16,256,LAS,PHX
1011010,0,341,AUS,LBB
1011010,18,588,SLC,OAK
1011010,2,303,MSY,HOU
1011015,12,1040,MCO,SAT
1011015,5,417,SJC,SAN
1011015,8,370,LAX,PHX
1011016,6,220,ISP,BWI
1011016,7,237,MCI,STL
1011017,12,181,OKC,DAL
1011020,16,370,PHX,LAX
1011020,2,1099,LAS,OMA
1011020,45,1262,PHX,STL
1011021,19,337,LAX,OAK
1011028,3,308,SJC,LAX
1011029,15,802,CMH,MCO
1011030,0,370,PHX,LAX
1011030,1,223,TUL,MCI
1011030,14,564,SEA,RNO
1011030,5,1044,PHX,MCI
1011030,5,258,LAS,SAN
1011030,8,296,LIT,STL
1011035,2,296,LIT,DAL
1011035,7,480,SMF,SAN
1011039,5,337,LAX,OAK
1011040,2,447,SFO,SAN
1011040,5,325,PHX,ONT
1011040,8,345,RNO,LAS
1011045,0,181,DAL,OKC
1011045,14,446,OAK,SAN
1011045,3,1588,BNA,LAS
1011045,5,543,OAK,PDX
1011048,24,303,MSY,HOU
1011048,4,612,BNA,TPA
1011050,0,562,ELP,DAL
1011050,18,580,ABQ,DAL
