VideoID,PublishedDate,ChannelID,title,description,thumbnail,channel
menotHHYeJw,2020-03-08T12:45:00Z,UCvWulTmPsyUscivbwE-xg2Q,AMERICAN FRIED RICE - STREET FOOD,"American fried rice AKA Fried rice of America (USA) is the name of this dish from the street food stall. Ingredients Egg, Hot Dog and (Sausage) cooking in asia ...",https://i.ytimg.com/vi/menotHHYeJw/default.jpg,RED FOOD
vJz186GHdIw,2017-04-22T16:52:30Z,UCu9g5OmzcCpcJnmSYyHnIVw,Street Food in Los Angeles - USA,Some American Street Foods filmed at Grand Central Market in Downtown LA -,https://i.ytimg.com/vi/vJz186GHdIw/default.jpg,Aden Films
F2b47rRHOJw,2019-03-11T18:52:34Z,UCbRj3Tcy1Zoz3rcf83nW5kw,The Ultimate American Breakfast | SAM THE COOKING GUY 4K,"The ultimate American breakfast: eggs benedict, hash browns, chicken & waffles, pancakes & more! SUBSCRIBE: http://bit.ly/stcgsub | MERCH: ...",https://i.ytimg.com/vi/F2b47rRHOJw/default.jpg,SAM THE COOKING GUY
w-0HCvJy2XE,2020-07-25T12:00:30Z,UCpvsIM_iSPXsQiFwwnISUww,American Food Compilation | Tasty Food Videos #35,Awesome Food Compilation | Satisfying Food Compilation | Tasty Food Videos | Satisfying & Tasty Food | So Yummy Food Thanks For Watching! If you Enjoyed ...,https://i.ytimg.com/vi/w-0HCvJy2XE/default.jpg,Food Tube
kQlXxlVRcuA,2020-06-27T19:36:31Z,UCBapjRd-uyeCTGb_-AMEqYw,Top 10 Traditional American Foods,"Traditional American Foods What exactly is American food? Well, it's like asking what an American looks like. There's no one answer. America is a complex ...",https://i.ytimg.com/vi/kQlXxlVRcuA/default.jpg,Traditional Dishes
Wxdj970RM7M,2020-07-04T20:00:03Z,UCwiTOchWeKjrJZw7S1H__1g,The Most Iconic Food In Every State | 50 State Favorites,"Every state has its own iconic food — Idaho potatoes are world famous, and New York pizza is legendary. Here's a look at the most iconic food from all 50 states.",https://i.ytimg.com/vi/Wxdj970RM7M/default.jpg,Food Insider
TxWm1hI3mac,2020-10-08T14:02:00Z,UCAqEoRfgMCtErK0qsL1cCtw,Brits Try American Food (Supercut),"Catch up on the best of Brits trying American foods in this supercut featuring a UK Vs. USA Cereal Swap, A Brit & American swapping diets and Brits trying a ...",https://i.ytimg.com/vi/TxWm1hI3mac/default.jpg,BuzzFeed UK
8i_tqacJ3Bg,2017-09-16T18:37:25Z,UC6c70iT1ATcqjQfTM-FGupw,The 25 Most Popular American Foods Of All Time | AllinAll,"The 25 Most Popular American Foods Of All Time #AmericanFoods #PopularAmericanFoods 1.Wendy's Baconator proves that bigger is better, with two beef ...",https://i.ytimg.com/vi/8i_tqacJ3Bg/default.jpg,AllinAll
DgqZ7hLFJ-w,2019-06-05T16:00:02Z,UCFanrVWRodCwCw43U7KBAQg,I only ate in AMERICAN FAST FOOD restaurants for 24hours..,I only ate from AMERICAN FAST FOOD restaurants for 24hours.. Subscribe to my vlogs here: http://bit.ly/2clXIs6 Subscribe: http://bit.ly/sub-SB | Make sure to ...,https://i.ytimg.com/vi/DgqZ7hLFJ-w/default.jpg,Saffron Barker
ZMaW6TamNAc,2020-05-12T16:00:16Z,UCwiTOchWeKjrJZw7S1H__1g,US vs UK McDonald&#39;s | Food Wars,"From calorie count to portion size, we compared everything between the UK and US McDonald's. MORE FOOD VIDEOS: Best Sandwich In Every State ...",https://i.ytimg.com/vi/ZMaW6TamNAc/default.jpg,Food Insider
