web-scraper-order,web-scraper-start-url,vid_link,vid_link-href,description,title
"1606151230-2088","https://www.youtube.com/results?search_query=american+food+company","What's Cooking? TV","https://www.youtube.com/channel/UCuTrEDAzUc6W_bicVB_FIlQ","",""
"1606151475-2169","https://www.youtube.com/results?search_query=american+food+company","News_ Memes","https://www.youtube.com/channel/UCybevMVbtGziRbs0AXJnQ9Q","",""
"1606151554-2199","https://www.youtube.com/results?search_query=american+food+company","TheHealthRanger","https://www.youtube.com/user/TheHealthRanger","",""
"1606151562-2202","https://www.youtube.com/results?search_query=american+food+company","Dean Robinson","https://www.youtube.com/user/meanmclean","",""
"1606151177-2067","https://www.youtube.com/results?search_query=american+food+company","The Grubwire","https://www.youtube.com/channel/UCFO2esBVaVcwFidzCAcSOCg","",""
"1606151510-2182","https://www.youtube.com/results?search_query=american+food+company","3:10
Now playing","https://www.youtube.com/watch?v=FDWquo8XcXA","VOA's Chris Simkins tells us about a recent Fancy Food Show in Washington","Specialty Food Sales Surge in US"
"1606151530-2190","https://www.youtube.com/results?search_query=american+food+company","American Coffee Stories","https://www.youtube.com/channel/UC9g596lVcrQF-DR6pySWidg","",""
"1606151528-2189","https://www.youtube.com/results?search_query=american+food+company","2:06:44
Now playing","https://www.youtube.com/watch?v=U386EMeWo3I","The incredible untold true story of Katherine Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer) & Mary Jackson (Janelle Monae)—brilliant African-American women working at NASA, who served as the brains behind one of the greatest operations in history: the launch of astronaut John Glenn into orbit. This stunning achievement galvanized the world and inspired generations to dream big.","Hidden Figures"
"1606151396-2145","https://www.youtube.com/results?search_query=american+food+company","Craig's cabin","https://www.youtube.com/channel/UCmz8mcTP1zQ5f8jDrIVx8Xg","",""
"1606151583-2210","https://www.youtube.com/results?search_query=american+food+company","1:07
Now playing","https://www.youtube.com/watch?v=GYtaxexMUqs","Steak Rules!  Order The Alaskan Medallion Package and use the coupon code ilovesteak to get 10% off your order.

http://americanpridefoods.com/alaskan...","American Pride Foods - The Alaska Medallion Package"
"1606151275-2106","https://www.youtube.com/results?search_query=american+food+company","Stefan Stefan","https://www.youtube.com/user/stefanquangtran","",""
"1606151252-2097","https://www.youtube.com/results?search_query=american+food+company","0:48
Now playing","https://www.youtube.com/watch?v=WmwO-RJ95wk","Boathouse is a small, local Philadelphia business competing in a world of global giants and brands. Our main competition – the Brands – produce most of their product in Asia because the labor is cheap and they can avoid regulation. No matter how the big brands may spin their story, it’s a calculated bottom line business decision to put profits-over-people and purposely outsources their clothing production overseas to exploit foreign workers and plunder their land. Their imported clothing is made cheaply, in both cost & quality, to meet price points or distribution needs, not to achieve great product. Then it’s halfway around the world to a distribution center and eventually a retail store where the consumer is charged a premium price. At Boathouse we started with one thought in mind about our product – how can we make our jackets and apparel perform for the athlete and improve the athlete’s experience? Not constrained by “margins” we were free to do just that – build great product that works better for athletic performance.","Why do we produce in the USA? It's all about the quality."
"1606151266-2102","https://www.youtube.com/results?search_query=american+food+company","2:40:22
Now playing","https://www.youtube.com/watch?v=Jl6WpUUCGWo","Following 24 characters through 5 days in the country music capital, Robert Altman's 1975 epic presents a complexly textured portrayal (and critique) of American obsessions with celebrity and power. Among the various stars, aspirants, hangers-on, observers, and media folk are politically ambitious country icon Haven Hamilton (Henry Gibson) and his fragile star protegée Barbara Jean (Ronee Blakley); Tom (Keith Carradine), a self-absorbed rock star who woos lonely married gospel singer Linnea Reese (Lily Tomlin); Sueleen Gay (Gwen Welles), a talentless waitress painfully humiliated at her first singing gig; Albuquerque (Barbara Harris), a runaway wife with dreams of stardom; nightclub owner Lady Pearl (Barbara Baxley), who reminisces about ""those Kennedy boys""; single-minded groupie L.A. Joan (Shelley Duvall); vapid BBC commentator Opal (Geraldine Chaplin); and campaign guru John Triplette (Michael Murphy), who is trying to organize a concert rally for the unseen but always heard populist presidential candidate-cum-demagogue Hal Phillip Walker. Everything comes to a head during a climactic concert at Nashville's replica of the Parthenon temple, as the entertainment-hungry audience is momentarily woken out of its stupor by unexpected violence, only to be lulled into a restorative sing-along to ""It Don't Worry Me.""","Nashville"
"1606151212-2081","https://www.youtube.com/results?search_query=american+food+company","Mameta Erika","https://www.youtube.com/channel/UCpI8LscRo1-GDGCAolsc__Q","",""
