web-scraper-order,web-scraper-start-url,vid_link,vid_link-href,description,title
"1606147686-1641","https://www.youtube.com/results?search_query=nafta+%2B+food","Diana Patterson","https://www.youtube.com/channel/UC2VRMhiRduh8tPgP4mAAwYw","",""
"1606147667-1633","https://www.youtube.com/results?search_query=nafta+%2B+food","1:12
Now playing","https://www.youtube.com/watch?v=Che-Qgtl87o","Click here for info - https://geni.us/Smoothie1

Free resources here https://ketowannabe.com/

The  smoothie mixes include different  blends of spinach, kale, avocado, bananas, pears, coconut milk, oranges, pineapple  pieces, honeydew melon, apples, and almond butter.

When you  load this much nutrition--  every one of these vitamins, minerals, all of the phytonutrients,  and also the flavonoids that are packed with  anti-oxidants-- into a single glass, it impacts you on a  mobile level,

This  boosts health  pens across the board.

The  healthy smoothies are also  loaded with fiber, which  boosts your digestion and  adds to healthier  fat burning.

 As well as they're full of high levels of vitamin C  as well as copper, which  help collagen production and tissue repair-it's  likewise what  will certainly  boost the quality of your skin tone.""

 And also, they're super  very easy to  absorb, which is why  lots of people  select the  fluid  morning meal over something like say, an egg white omelet.

Not  just do the nutrients in smoothies get to where they need to go  quicker,  yet drinking them for breakfast also gives your  gastrointestinal system some time off from breaking down  larger  entire foods.

That conserves energy your body can then use  somewhere else, without  giving up nutrients,","Detox Diet Plan Menu - Easy To  Comply With Diet"
"1606147575-1603","https://www.youtube.com/results?search_query=nafta+%2B+food","Kim Dong Hyun","https://www.youtube.com/channel/UCch585uq0hzbqszIXb0757w","",""
"1606147555-1597","https://www.youtube.com/results?search_query=nafta+%2B+food","View full playlist","https://www.youtube.com/playlist?list=PL0S7-I4HSo4uklTOXz8XDXmMiy2XD3bOb","","null"
"1606147664-1632","https://www.youtube.com/results?search_query=nafta+%2B+food","Rebecca Hagins","https://www.youtube.com/channel/UCNjKpi4DpWwaWTflOV0VE9Q","",""
"1606147547-1594","https://www.youtube.com/results?search_query=nafta+%2B+food","6:22
Now playing","https://www.youtube.com/watch?v=wRFAOw_oEvs","Canadian trade minister, Chrystia Freeland, was on the verge of tears when trade negotiations with EU broke down last October, so why do you suppose I have no confidence in reopening  NAFTA and our negotiators. 
Also who's interest will be at forefront for the US?  We will get screwed.
The other thing is the Liberal Carbon-tax...It's not just fuel prices that will go up, everything will since the cost increase will be passed on to consumers.  From taxi fares and public transit to schools and hospitals, airlines and box stores, everything will go up in price.  Hope your wages are keeping up, actually that isn't even enough, you should be ahead by a small amount of the rising costs.
Pissed off Canadian speaking out.","NAFTA Renegotiation to Carbon Tax and rising fuel prices, Canada is Screwed -  YouTube"
"1606147631-1619","https://www.youtube.com/results?search_query=nafta+%2B+food","Truthstream Media","https://www.youtube.com/user/TRUTHstreammedia","",""
"1606147694-1644","https://www.youtube.com/results?search_query=nafta+%2B+food","1:03
Now playing","https://www.youtube.com/watch?v=BJqpNVhKt7Y","Click here for more info - https://geni.us/CustomKetoQuiz

Free resources here https://ketowannabe.com/

Nutritional ketosis or simply ketosis is a  normally  taking place metabolic state where your body  makes use of ketones (fat) for  gas  as opposed to  sugar ( carbs).


It  occurs when the body burns up all its  carb stores. Or,  when it comes to ketogenic diet, the  carb  consumption is  really low. In both of these cases, the liver  transforms dietary fats and  fat into a fatty acid called ketone.



 Exactly How Ketosis Burns Fat


Insulin levels drop  throughout ketosis,  therefore releasing fats from your fat cells. As fats  load your liver,  most of it  ultimately  becomes ketones.


Your body will then be able to  utilize these ketones as a  gas  resource.  Usually, if the body  requires energy, it would always prioritize  carbs.   Nonetheless, if no  carbohydrates are present, it would burn ketones instead.","Keto Diet For Beginners Pdf - Easy To  Comply With Diet"
"1606147564-1600","https://www.youtube.com/results?search_query=nafta+%2B+food","68

Now playing","https://www.youtube.com/watch?v=w0Wmc8C0Eq0&list=PL0S7-I4HSo4uklTOXz8XDXmMiy2XD3bOb","From Prince Rurik to the Russian Revolution, this is a compilation of the first 5 episodes of Epic History TV's History of Russia. 

Visit our merch shop:
teespring.com/en-GB/stores/epic-histo...

Help me make more videos at Patreon: https://www.patreon.com/EpicHistoryTV...


Recommended general histories of Russia (as an Amazon Associate I earn from qualifying purchases):
Martin Sixsmith, Russia: A 1000 Year Chronicle of the Wild East http://geni.us/KJoobkg
Orlando Figes, Natasha's Dance: A Cultural History of Russia http://geni.us/g6Ue8k
Robert Service, The Penguin History of Modern Russia: From Tsarism to the Twenty-first Century http://geni.us/TgiI

#EpicHistoryTV #HistoryofRussia

Music:
Johnny de'Ath www.lemonadedrinkers.com
Filmstro https://www.filmstro.com/
Audio Blocks
Premium Beat

Kevin MacLeod https://incompetech.com/
'The Pyre'; 'Intrepid'; 'String Impromptu Number 1'; 'Brandenburg No.4'; 'All This'; 'Satiate Percussion'; 'The Descent'; 
Licensed under Creative Commons by Attribution CC BY-SA 3.0

A note on 'Ivan the Terrible' - in Russia, Ivan IV has the epithet 'Гро́зный' meaning 'Great' or 'Formidable'. So why is he known as Ivan 'the Terrible' in English? Because he was evil or useless or because of anti-Russian bias? No, because 'Terrible' in English also means awesome or formidable - this was well understood when 'Гро́зный' was first translated into English centuries ago, but now fewer people understand this. (see definitions 3 & 4 here: http://www.dictionary.com/browse/terr...). The name stuck, and Ivan IV has been known as Ivan the Terrible ever since.

Images:
Universitat Autonoma de Barcelona
State Tretyakov Gallery
Russian State Historical Museum
National Art Museum of Ukraine
Herodotus: Marie-Lan Nguyen, CC BY 2.5
St.Volodymr: Dar Veter, CC BY-SA 3.0
Polish-Lithuanian Flag: Olek Remesz, CC BY 2.5
Kremlin.ru
New York Public Library
Anne S.K. Brown Military Collection, Brown University Library
Stenka Razin with kind permission of Sergei Kirrilov
Winter Palace: Alex Florstein Fedorov CC BY-SA 4.0
Imperial Academy of Fine Arts: Alex Florstein Fedorov CC BY-SA 4.0
Ipatievsky Monastery: Michael Clarke CC BY-SA 4.0
Trans-Alaska Pipeline: Frank Kovalchek CC BY 2.0
Gallows: Adam Clarke CC BY-SA 2.0
Church of the Saviour exterior: NoPlayerUfa CC BY-SA 3.0
Church of the Saviour interior: Mannat Kaur CC BY-SA 3.0

Audio Mix and SFX:
Chris Whiteside
Rene Bridgman

Thanks to Mahdi for Persian captions.","History of Russia (PARTS 1-5) - Rurik to Revolution"
"1606147609-1612","https://www.youtube.com/results?search_query=nafta+%2B+food","173

Now playing","https://www.youtube.com/watch?v=XvWsIjrW9Ps&list=PLhMmcGNCf2SMH3O8G6L-XkEWKGbqfej6B","A poem by Laotian American poet Bryan Thao Worra from his travels in Laos, featured in the e-chapbook Touching Detonations. Bryan Thao Worra currently resides in the Twin Cities.","A Postcard To Luang Prabang"
