industry,goal,goalNames,totals,t_shirt,category
Design & Innovation,1,No Poverty,1,,People
Manufacturing,1,No Poverty,3,1,People
Social & Labor,1,No Poverty,3,1,People
Retail & eCommerce,1,No Poverty,1,,People
Consumer Engagement,1,No Poverty,1,,People
Finance,1,No Poverty,3,,People
Technology,1,No Poverty,1,,People
Chemical & Treatment,2,Zero Hunger,2,,People
Agriculture & Raw Materials,2,Zero Hunger,2,1,People
Design & Innovation,2,Zero Hunger,1,,People
Manufacturing,2,Zero Hunger,3,1,People
Social & Labor,2,Zero Hunger,3,1,People
Retail & eCommerce,2,Zero Hunger,1,,People
Consumer Engagement,2,Zero Hunger,2,,People
Finance,2,Zero Hunger,2,,People
Technology,2,Zero Hunger,1,,People
Chemical & Treatment,3,Good Heath & Well-Being,3,1,People
Agriculture & Raw Materials,3,Good Heath & Well-Being,3,1,People
Design & Innovation,3,Good Heath & Well-Being,1,,People
Manufacturing,3,Good Heath & Well-Being,2,1,People
Social & Labor,3,Good Heath & Well-Being,3,1,People
Packaging,3,Good Heath & Well-Being,1,,People
Waste & Circular Living,3,Good Heath & Well-Being,3,,People
Consumer Engagement,3,Good Heath & Well-Being,1,,People
Stakeholder Well-Being,3,Good Heath & Well-Being,1,,People
Finance,3,Good Heath & Well-Being,1,,People
Technology,3,Good Heath & Well-Being,2,,People
Social & Labor,4,Quality Education,2,1,People
Transparency & Governance,4,Quality Education,1,1,People
Social & Labor,5,Gender Equality,3,1,People
Transparency & Governance,5,Gender Equality,1,,People
Finance,5,Gender Equality,1,,People
Chemical & Treatment,6,Clean Water & Sanitation,3,1,Planet
Agriculture & Raw Materials,6,Clean Water & Sanitation,3,1,Planet
Design & Innovation,6,Clean Water & Sanitation,2,,Planet
Manufacturing,6,Clean Water & Sanitation,2,1,Planet
Social & Labor,6,Clean Water & Sanitation,1,,Planet
Transportation & Logistics,6,Clean Water & Sanitation,1,1,Planet
Packaging,6,Clean Water & Sanitation,1,,Planet
Waste & Circular Living,6,Clean Water & Sanitation,4,1,Planet
Consumer Engagement,6,Clean Water & Sanitation,1,,Planet
Stakeholder Well-Being,6,Clean Water & Sanitation,1,,Planet
Technology,6,Clean Water & Sanitation,2,,Planet
Chemical & Treatment,7,Affordable & Clean Energy,1,1,Prosperity
Agriculture & Raw Materials,7,Affordable & Clean Energy,2,1,Prosperity
Design & Innovation,7,Affordable & Clean Energy,1,1,Prosperity
Manufacturing,7,Affordable & Clean Energy,2,1,Prosperity
Transportation & Logistics,7,Affordable & Clean Energy,1,1,Prosperity
Waste & Circular Living,7,Affordable & Clean Energy,1,,Prosperity
Stakeholder Well-Being,7,Affordable & Clean Energy,1,,Prosperity
Finance,7,Affordable & Clean Energy,1,,Prosperity
Chemical & Treatment,8,Decent Work & Economic Growth,1,1,Prosperity
Agriculture & Raw Materials,8,Decent Work & Economic Growth,1,1,Prosperity
Design & Innovation,8,Decent Work & Economic Growth,2,1,Prosperity
Manufacturing,8,Decent Work & Economic Growth,3,1,Prosperity
Social & Labor,8,Decent Work & Economic Growth,3,,Prosperity
Transportation & Logistics,8,Decent Work & Economic Growth,1,1,Prosperity
Retail & eCommerce,8,Decent Work & Economic Growth,1,,Prosperity
Waste & Circular Living,8,Decent Work & Economic Growth,1,,Prosperity
Consumer Engagement,8,Decent Work & Economic Growth,1,,Prosperity
